ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 06 May 2014,To: 06 May 2014,Arizona,CY 2014,23,Burma,5,Phoenix,5,307
From: 06 May 2014,To: 06 May 2014,Arizona,CY 2014,23,Dem. Rep. Congo,5,Tucson,5,307
From: 06 May 2014,To: 06 May 2014,Arizona,CY 2014,23,Somalia,13,Phoenix,2,307
From: 06 May 2014,To: 06 May 2014,Arizona,CY 2014,23,Somalia,13,Tucson,11,307
From: 06 May 2014,To: 06 May 2014,California,CY 2014,2,Moldova,2,Citrus Heights,2,307
From: 06 May 2014,To: 06 May 2014,Colorado,CY 2014,2,Somalia,2,Denver,2,307
From: 06 May 2014,To: 06 May 2014,Florida,CY 2014,6,Iraq,6,Jacksonville,6,307
From: 06 May 2014,To: 06 May 2014,Georgia,CY 2014,33,Bhutan,10,Atlanta,10,307
From: 06 May 2014,To: 06 May 2014,Georgia,CY 2014,33,Burma,17,Atlanta,8,307
From: 06 May 2014,To: 06 May 2014,Georgia,CY 2014,33,Burma,17,Clarkston,9,307
From: 06 May 2014,To: 06 May 2014,Georgia,CY 2014,33,Pakistan,6,Atlanta,6,307
From: 06 May 2014,To: 06 May 2014,Idaho,CY 2014,1,Burma,1,Boise,1,307
From: 06 May 2014,To: 06 May 2014,Illinois,CY 2014,4,Burma,4,Chicago,2,307
From: 06 May 2014,To: 06 May 2014,Illinois,CY 2014,4,Burma,4,Wheaton,2,307
From: 06 May 2014,To: 06 May 2014,Indiana,CY 2014,2,Burma,2,Indianapolis,2,307
From: 06 May 2014,To: 06 May 2014,Kansas,CY 2014,3,Burma,3,Wichita,3,307
From: 06 May 2014,To: 06 May 2014,Kentucky,CY 2014,1,Burma,1,Louisville,1,307
From: 06 May 2014,To: 06 May 2014,Louisiana,CY 2014,7,Dem. Rep. Congo,7,Alexandria,7,307
From: 06 May 2014,To: 06 May 2014,Maine,CY 2014,4,Iraq,4,Biddeford,4,307
From: 06 May 2014,To: 06 May 2014,Maryland,CY 2014,7,Bhutan,6,Baltimore,6,307
From: 06 May 2014,To: 06 May 2014,Maryland,CY 2014,7,Eritrea,1,Baltimore,1,307
From: 06 May 2014,To: 06 May 2014,Massachusetts,CY 2014,19,Bhutan,14,Chelsea,3,307
From: 06 May 2014,To: 06 May 2014,Massachusetts,CY 2014,19,Bhutan,14,West Springfield,4,307
From: 06 May 2014,To: 06 May 2014,Massachusetts,CY 2014,19,Bhutan,14,Worcester,7,307
From: 06 May 2014,To: 06 May 2014,Massachusetts,CY 2014,19,Iraq,5,Lowell,4,307
