ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 16 Jul 2002,To: 16 Jul 2002,Arizona,CY 2002,4,Serbia,4,Tucson,4,122
From: 16 Jul 2002,To: 16 Jul 2002,California,CY 2002,22,Russia,2,San Diego,2,122
From: 16 Jul 2002,To: 16 Jul 2002,California,CY 2002,22,Ukraine,20,Fresno,1,122
From: 16 Jul 2002,To: 16 Jul 2002,California,CY 2002,22,Ukraine,20,Hesperia,9,122
From: 16 Jul 2002,To: 16 Jul 2002,California,CY 2002,22,Ukraine,20,Los Angeles,5,122
From: 16 Jul 2002,To: 16 Jul 2002,California,CY 2002,22,Ukraine,20,Sacramento,5,122
From: 16 Jul 2002,To: 16 Jul 2002,Georgia,CY 2002,3,Russia,2,Snellville,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Georgia,CY 2002,3,Serbia,1,Decatur,1,122
From: 16 Jul 2002,To: 16 Jul 2002,Illinois,CY 2002,10,Russia,1,Champaign,1,122
From: 16 Jul 2002,To: 16 Jul 2002,Illinois,CY 2002,10,Serbia,9,Moline,9,122
From: 16 Jul 2002,To: 16 Jul 2002,Iowa,CY 2002,4,Serbia,4,Des Moines,4,122
From: 16 Jul 2002,To: 16 Jul 2002,Maine,CY 2002,5,Russia,5,Portland,5,122
From: 16 Jul 2002,To: 16 Jul 2002,Maryland,CY 2002,2,Russia,2,Chevy Chase,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Massachusetts,CY 2002,12,Iran,2,Westfield,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Massachusetts,CY 2002,12,Russia,2,Newton,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Massachusetts,CY 2002,12,Serbia,6,Boston,6,122
From: 16 Jul 2002,To: 16 Jul 2002,Massachusetts,CY 2002,12,Ukraine,2,Westfield,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Michigan,CY 2002,5,Iran,1,Bloomfield Hills,1,122
From: 16 Jul 2002,To: 16 Jul 2002,Michigan,CY 2002,5,Russia,4,Waterford,4,122
From: 16 Jul 2002,To: 16 Jul 2002,Minnesota,CY 2002,3,Russia,3,Maple Grove,3,122
From: 16 Jul 2002,To: 16 Jul 2002,Nebraska,CY 2002,2,Ukraine,2,Omaha,2,122
From: 16 Jul 2002,To: 16 Jul 2002,New Jersey,CY 2002,3,Russia,3,Fair Haven,2,122
From: 16 Jul 2002,To: 16 Jul 2002,New Jersey,CY 2002,3,Russia,3,Highland Park,1,122
From: 16 Jul 2002,To: 16 Jul 2002,New York,CY 2002,13,Russia,1,Brooklyn,1,122
From: 16 Jul 2002,To: 16 Jul 2002,New York,CY 2002,13,Ukraine,12,Brooklyn,2,122
From: 16 Jul 2002,To: 16 Jul 2002,New York,CY 2002,13,Ukraine,12,Syracuse,10,122
From: 16 Jul 2002,To: 16 Jul 2002,Ohio,CY 2002,4,Russia,1,Cincinnati,1,122
From: 16 Jul 2002,To: 16 Jul 2002,Ohio,CY 2002,4,Ukraine,3,Parma,3,122
From: 16 Jul 2002,To: 16 Jul 2002,Oregon,CY 2002,4,Ukraine,4,Milwaukie,1,122
From: 16 Jul 2002,To: 16 Jul 2002,Oregon,CY 2002,4,Ukraine,4,Portland,3,122
From: 16 Jul 2002,To: 16 Jul 2002,Pennsylvania,CY 2002,4,Serbia,4,York,4,122
From: 16 Jul 2002,To: 16 Jul 2002,Texas,CY 2002,2,Iran,2,Irving,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Virginia,CY 2002,2,Iran,2,Yorktown,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Washington,CY 2002,15,Ukraine,15,Auburn,1,122
From: 16 Jul 2002,To: 16 Jul 2002,Washington,CY 2002,15,Ukraine,15,Renton,5,122
From: 16 Jul 2002,To: 16 Jul 2002,Washington,CY 2002,15,Ukraine,15,Seattle,4,122
From: 16 Jul 2002,To: 16 Jul 2002,Washington,CY 2002,15,Ukraine,15,Vancouver,5,122
From: 16 Jul 2002,To: 16 Jul 2002,Wisconsin,CY 2002,3,Serbia,3,Milwaukee,3,122

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
From: 16 Jul 2002,To: 16 Jul 2002,Iran,CY 2002,7,Massachusetts,2,Westfield,2,122
From: 16 Jul 2002,To: 16 Jul 2002,Iran,CY 2002,7,Michigan,1,Bloomfield Hills,1,122
From: 16 Jul 2002,To: 16 Jul 2002,Iran,CY 2002,7,Texas,2,Irving,2,122
