ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 18 Jun 2012,To: 18 Jun 2012,Arizona,CY 2012,14,Bhutan,5,Phoenix,5,163
From: 18 Jun 2012,To: 18 Jun 2012,Arizona,CY 2012,14,Burma,2,Phoenix,2,163
From: 18 Jun 2012,To: 18 Jun 2012,Arizona,CY 2012,14,Somalia,7,Phoenix,7,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Bhutan,10,Oakland,4,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Bhutan,10,Sacramento,6,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Burma,4,Modesto,3,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Burma,4,Sacramento,1,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Eritrea,1,Sacramento,1,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Iran,2,Escondido,2,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Iraq,16,El Cajon,7,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Iraq,16,Pasadena,3,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Iraq,16,Santa Clara,2,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Iraq,16,Santee,4,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Laos,5,Fontana,5,163
From: 18 Jun 2012,To: 18 Jun 2012,California,CY 2012,42,Somalia,4,Anaheim,4,163
From: 18 Jun 2012,To: 18 Jun 2012,Colorado,CY 2012,5,Bhutan,5,Aurora,5,163
From: 18 Jun 2012,To: 18 Jun 2012,Georgia,CY 2012,1,Sri Lanka (Ceylon),1,Decatur,1,163
From: 18 Jun 2012,To: 18 Jun 2012,Idaho,CY 2012,4,Burma,4,Twin Falls,4,163
From: 18 Jun 2012,To: 18 Jun 2012,Illinois,CY 2012,2,Iraq,2,Chicago,1,163
From: 18 Jun 2012,To: 18 Jun 2012,Illinois,CY 2012,2,Iraq,2,Rockford,1,163
From: 18 Jun 2012,To: 18 Jun 2012,Indiana,CY 2012,5,Burma,5,Indianapolis,5,163
From: 18 Jun 2012,To: 18 Jun 2012,Kansas,CY 2012,4,Eritrea,4,Wichita,4,163
From: 18 Jun 2012,To: 18 Jun 2012,Kentucky,CY 2012,1,Afghanistan,1,Louisville,1,163
From: 18 Jun 2012,To: 18 Jun 2012,Michigan,CY 2012,12,Iraq,10,Detroit,2,163
