ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 18 Feb 2016,To: 18 Feb 2016,Arizona,CY 2016,12,Burma,1,Phoenix,1,423
From: 18 Feb 2016,To: 18 Feb 2016,Arizona,CY 2016,12,Ethiopia,5,Phoenix,5,423
From: 18 Feb 2016,To: 18 Feb 2016,Arizona,CY 2016,12,Iran,1,Phoenix,1,423
From: 18 Feb 2016,To: 18 Feb 2016,Arizona,CY 2016,12,Iraq,4,Phoenix,4,423
From: 18 Feb 2016,To: 18 Feb 2016,Arizona,CY 2016,12,Somalia,1,Tucson,1,423
From: 18 Feb 2016,To: 18 Feb 2016,California,CY 2016,19,Burma,3,Oakland,3,423
From: 18 Feb 2016,To: 18 Feb 2016,California,CY 2016,19,"Korea, North",1,San Jose,1,423
From: 18 Feb 2016,To: 18 Feb 2016,California,CY 2016,19,Somalia,10,San Diego,10,423
From: 18 Feb 2016,To: 18 Feb 2016,California,CY 2016,19,Syria,1,El Cajon,1,423
From: 18 Feb 2016,To: 18 Feb 2016,California,CY 2016,19,Ukraine,4,North Highlands,4,423
From: 18 Feb 2016,To: 18 Feb 2016,Colorado,CY 2016,5,Burma,1,Denver,1,423
From: 18 Feb 2016,To: 18 Feb 2016,Colorado,CY 2016,5,Somalia,4,Aurora,4,423
From: 18 Feb 2016,To: 18 Feb 2016,Connecticut,CY 2016,7,Afghanistan,1,New Haven,1,423
From: 18 Feb 2016,To: 18 Feb 2016,Connecticut,CY 2016,7,Dem. Rep. Congo,4,Bridgeport,4,423
From: 18 Feb 2016,To: 18 Feb 2016,Connecticut,CY 2016,7,Eritrea,2,Bridgeport,2,423
From: 18 Feb 2016,To: 18 Feb 2016,Florida,CY 2016,22,Burma,7,Jacksonville,7,423
From: 18 Feb 2016,To: 18 Feb 2016,Florida,CY 2016,22,Dem. Rep. Congo,6,Doral,6,423
From: 18 Feb 2016,To: 18 Feb 2016,Florida,CY 2016,22,Iran,1,Lauderdale Lakes,1,423
From: 18 Feb 2016,To: 18 Feb 2016,Florida,CY 2016,22,Somalia,8,Tampa,8,423
From: 18 Feb 2016,To: 18 Feb 2016,Georgia,CY 2016,14,Bhutan,6,Clarkston,6,423
From: 18 Feb 2016,To: 18 Feb 2016,Georgia,CY 2016,14,Burma,5,Atlanta,5,423
From: 18 Feb 2016,To: 18 Feb 2016,Georgia,CY 2016,14,Pakistan,2,Clarkston,2,423
From: 18 Feb 2016,To: 18 Feb 2016,Georgia,CY 2016,14,Somalia,1,Atlanta,1,423
From: 18 Feb 2016,To: 18 Feb 2016,Idaho,CY 2016,1,Iran,1,Boise,1,423
From: 18 Feb 2016,To: 18 Feb 2016,Illinois,CY 2016,7,Afghanistan,5,Chicago,5,423
