ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 17 Jul 2002,To: 17 Jul 2002,Arizona,CY 2002,1,Sudan,1,Phoenix,1,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Afghanistan,3,Rancho Cucamonga,2,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Afghanistan,3,San Diego,1,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Belarus,4,Los Angeles,4,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Iran,13,La Crescenta,2,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Iran,13,Los Alamitos,2,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Iran,13,Poway,3,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Iran,13,Redwood City,2,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Iran,13,Tarzana,4,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Moldova,2,Sacramento,2,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Russia,5,West Hollywood,5,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Ukraine,5,Sacramento,5,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Vietnam,8,Fremont,3,216
From: 17 Jul 2002,To: 17 Jul 2002,California,CY 2002,40,Vietnam,8,San Jose,5,216
From: 17 Jul 2002,To: 17 Jul 2002,Colorado,CY 2002,2,Ukraine,2,Parker,2,216
From: 17 Jul 2002,To: 17 Jul 2002,Florida,CY 2002,7,Cuba,7,Hialeah,4,216
From: 17 Jul 2002,To: 17 Jul 2002,Florida,CY 2002,7,Cuba,7,Miami,1,216
From: 17 Jul 2002,To: 17 Jul 2002,Florida,CY 2002,7,Cuba,7,Tampa,2,216
From: 17 Jul 2002,To: 17 Jul 2002,Georgia,CY 2002,15,Afghanistan,5,Decatur,5,216
From: 17 Jul 2002,To: 17 Jul 2002,Georgia,CY 2002,15,Bosnia and Herzegovina,3,Atlanta,3,216
From: 17 Jul 2002,To: 17 Jul 2002,Georgia,CY 2002,15,Iraq,1,Clarkston,1,216
From: 17 Jul 2002,To: 17 Jul 2002,Georgia,CY 2002,15,Vietnam,6,Atlanta,1,216
From: 17 Jul 2002,To: 17 Jul 2002,Georgia,CY 2002,15,Vietnam,6,Decatur,3,216
