ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 29 Aug 2017,To: 29 Aug 2017,Arizona,CY 2017,1,Iraq,1,Phoenix,1,136
From: 29 Aug 2017,To: 29 Aug 2017,California,CY 2017,18,El Salvador,2,Anaheim,1,136
From: 29 Aug 2017,To: 29 Aug 2017,California,CY 2017,18,El Salvador,2,Oakland,1,136
From: 29 Aug 2017,To: 29 Aug 2017,California,CY 2017,18,Iraq,2,San Diego,2,136
From: 29 Aug 2017,To: 29 Aug 2017,California,CY 2017,18,Syria,3,Modesto,3,136
From: 29 Aug 2017,To: 29 Aug 2017,California,CY 2017,18,Ukraine,11,Modesto,2,136
From: 29 Aug 2017,To: 29 Aug 2017,California,CY 2017,18,Ukraine,11,Rancho Cordova,4,136
From: 29 Aug 2017,To: 29 Aug 2017,California,CY 2017,18,Ukraine,11,Sacramento,5,136
From: 29 Aug 2017,To: 29 Aug 2017,Connecticut,CY 2017,5,Burma,5,Hartford,5,136
From: 29 Aug 2017,To: 29 Aug 2017,Florida,CY 2017,4,Eritrea,4,Jacksonville,4,136
From: 29 Aug 2017,To: 29 Aug 2017,Kentucky,CY 2017,5,Iraq,5,Bowling Green,5,136
From: 29 Aug 2017,To: 29 Aug 2017,Massachusetts,CY 2017,1,El Salvador,1,Nantucket,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Michigan,CY 2017,23,Afghanistan,8,Lansing,8,136
From: 29 Aug 2017,To: 29 Aug 2017,Michigan,CY 2017,23,Iraq,2,Sterling Heights,2,136
From: 29 Aug 2017,To: 29 Aug 2017,Michigan,CY 2017,23,Syria,13,Clinton Township,9,136
From: 29 Aug 2017,To: 29 Aug 2017,Michigan,CY 2017,23,Syria,13,Troy,4,136
From: 29 Aug 2017,To: 29 Aug 2017,Minnesota,CY 2017,11,Somalia,10,Marshall,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Minnesota,CY 2017,11,Somalia,10,Waite Park,4,136
From: 29 Aug 2017,To: 29 Aug 2017,Minnesota,CY 2017,11,Somalia,10,Willmar,5,136
From: 29 Aug 2017,To: 29 Aug 2017,Minnesota,CY 2017,11,Ukraine,1,Lakeville,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Nebraska,CY 2017,6,Ethiopia,2,Schuyler,2,136
From: 29 Aug 2017,To: 29 Aug 2017,Nebraska,CY 2017,6,Somalia,4,Lexington,4,136
From: 29 Aug 2017,To: 29 Aug 2017,New York,CY 2017,8,Eritrea,2,Brooklyn,2,136
From: 29 Aug 2017,To: 29 Aug 2017,New York,CY 2017,8,Ukraine,6,New York,4,136
From: 29 Aug 2017,To: 29 Aug 2017,New York,CY 2017,8,Ukraine,6,Syracuse,2,136
From: 29 Aug 2017,To: 29 Aug 2017,North Carolina,CY 2017,5,Iraq,5,Durham,4,136
From: 29 Aug 2017,To: 29 Aug 2017,North Carolina,CY 2017,5,Iraq,5,High Point,1,136
From: 29 Aug 2017,To: 29 Aug 2017,North Dakota,CY 2017,9,Somalia,9,Fargo,9,136
From: 29 Aug 2017,To: 29 Aug 2017,Ohio,CY 2017,1,Somalia,1,Columbus,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Oregon,CY 2017,2,Eritrea,1,Portland,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Oregon,CY 2017,2,Iraq,1,Portland,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Pennsylvania,CY 2017,5,Syria,5,Erie,5,136
From: 29 Aug 2017,To: 29 Aug 2017,Texas,CY 2017,8,Bhutan,4,Dallas,4,136
From: 29 Aug 2017,To: 29 Aug 2017,Texas,CY 2017,8,Nepal,1,Fort Worth,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Texas,CY 2017,8,Russia,3,Universal City,3,136
From: 29 Aug 2017,To: 29 Aug 2017,Washington,CY 2017,24,Burma,1,Tukwila,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Washington,CY 2017,24,Iran,2,Seattle,2,136
From: 29 Aug 2017,To: 29 Aug 2017,Washington,CY 2017,24,Iraq,1,Everett,1,136
From: 29 Aug 2017,To: 29 Aug 2017,Washington,CY 2017,24,Russia,10,Seattle,10,136
From: 29 Aug 2017,To: 29 Aug 2017,Washington,CY 2017,24,Ukraine,10,Pacific,3,136
From: 29 Aug 2017,To: 29 Aug 2017,Washington,CY 2017,24,Ukraine,10,Spokane Valley,7,136

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
