ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 02 Mar 2016,To: 02 Mar 2016,Arizona,CY 2016,10,Dem. Rep. Congo,8,Tucson,8,225
From: 02 Mar 2016,To: 02 Mar 2016,Arizona,CY 2016,10,Iraq,1,Tucson,1,225
From: 02 Mar 2016,To: 02 Mar 2016,Arizona,CY 2016,10,Sudan,1,Phoenix,1,225
From: 02 Mar 2016,To: 02 Mar 2016,California,CY 2016,41,Egypt,3,Huntington Beach,3,225
From: 02 Mar 2016,To: 02 Mar 2016,California,CY 2016,41,Iran,27,Glendale,16,225
From: 02 Mar 2016,To: 02 Mar 2016,California,CY 2016,41,Iran,27,Los Angeles,8,225
From: 02 Mar 2016,To: 02 Mar 2016,California,CY 2016,41,Iran,27,Tujunga,3,225
From: 02 Mar 2016,To: 02 Mar 2016,California,CY 2016,41,Iraq,11,El Cajon,6,225
From: 02 Mar 2016,To: 02 Mar 2016,California,CY 2016,41,Iraq,11,San Diego,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Connecticut,CY 2016,1,Dem. Rep. Congo,1,Hartford,1,225
From: 02 Mar 2016,To: 02 Mar 2016,Georgia,CY 2016,20,Burma,5,Atlanta,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Georgia,CY 2016,20,Dem. Rep. Congo,15,Atlanta,8,225
From: 02 Mar 2016,To: 02 Mar 2016,Georgia,CY 2016,20,Dem. Rep. Congo,15,Stone Mountain,7,225
From: 02 Mar 2016,To: 02 Mar 2016,Idaho,CY 2016,6,Dem. Rep. Congo,6,Twin Falls,6,225
From: 02 Mar 2016,To: 02 Mar 2016,Illinois,CY 2016,12,Bhutan,5,Glendale Heights,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Illinois,CY 2016,12,Burma,3,Monmouth,3,225
From: 02 Mar 2016,To: 02 Mar 2016,Illinois,CY 2016,12,Eritrea,4,Rockford,4,225
From: 02 Mar 2016,To: 02 Mar 2016,Kansas,CY 2016,4,Burma,4,Kansas City,4,225
From: 02 Mar 2016,To: 02 Mar 2016,Massachusetts,CY 2016,8,Burundi,1,Worcester,1,225
From: 02 Mar 2016,To: 02 Mar 2016,Massachusetts,CY 2016,8,Dem. Rep. Congo,7,Springfield,7,225
From: 02 Mar 2016,To: 02 Mar 2016,Michigan,CY 2016,6,Burma,6,Kentwood,6,225
From: 02 Mar 2016,To: 02 Mar 2016,Minnesota,CY 2016,1,Somalia,1,Saint Paul,1,225
From: 02 Mar 2016,To: 02 Mar 2016,New York,CY 2016,6,Bhutan,2,Utica,2,225
From: 02 Mar 2016,To: 02 Mar 2016,New York,CY 2016,6,Dem. Rep. Congo,1,Syracuse,1,225
From: 02 Mar 2016,To: 02 Mar 2016,New York,CY 2016,6,Somalia,3,Buffalo,2,225
From: 02 Mar 2016,To: 02 Mar 2016,New York,CY 2016,6,Somalia,3,Syracuse,1,225
From: 02 Mar 2016,To: 02 Mar 2016,North Carolina,CY 2016,12,Burma,5,Winston-Salem,5,225
From: 02 Mar 2016,To: 02 Mar 2016,North Carolina,CY 2016,12,Dem. Rep. Congo,4,Durham,2,225
From: 02 Mar 2016,To: 02 Mar 2016,North Carolina,CY 2016,12,Dem. Rep. Congo,4,New Bern,2,225
From: 02 Mar 2016,To: 02 Mar 2016,North Carolina,CY 2016,12,Somalia,3,Durham,3,225
From: 02 Mar 2016,To: 02 Mar 2016,North Dakota,CY 2016,5,Bhutan,5,Fargo,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Oregon,CY 2016,5,Eritrea,1,Portland,1,225
From: 02 Mar 2016,To: 02 Mar 2016,Oregon,CY 2016,5,Iraq,4,Portland,4,225
From: 02 Mar 2016,To: 02 Mar 2016,Pennsylvania,CY 2016,9,Burma,3,Lancaster,3,225
From: 02 Mar 2016,To: 02 Mar 2016,Pennsylvania,CY 2016,9,Dem. Rep. Congo,2,Pittsburgh,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Pennsylvania,CY 2016,9,Malaysia,2,Philadelphia,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Pennsylvania,CY 2016,9,Somalia,2,Erie,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Rhode Island,CY 2016,10,Dem. Rep. Congo,10,Providence,10,225
From: 02 Mar 2016,To: 02 Mar 2016,South Dakota,CY 2016,14,Burundi,13,Sioux Falls,13,225
From: 02 Mar 2016,To: 02 Mar 2016,South Dakota,CY 2016,14,Ethiopia,1,Sioux Falls,1,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Bhutan,4,Austin,4,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Burma,7,Dallas,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Burma,7,Lewisville,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Burundi,2,Abilene,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Dem. Rep. Congo,14,Fort Worth,9,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Dem. Rep. Congo,14,Houston,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Eritrea,1,Fort Worth,1,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Ethiopia,5,Houston,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Texas,CY 2016,40,Somalia,7,Fort Worth,7,225
From: 02 Mar 2016,To: 02 Mar 2016,Utah,CY 2016,2,Somalia,2,Salt Lake City,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Washington,CY 2016,13,Dem. Rep. Congo,3,Spokane,3,225
From: 02 Mar 2016,To: 02 Mar 2016,Washington,CY 2016,13,Eritrea,1,Seattle,1,225
From: 02 Mar 2016,To: 02 Mar 2016,Washington,CY 2016,13,Iran,2,Seattle,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Washington,CY 2016,13,Iraq,7,Kent,7,225

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
From: 02 Mar 2016,To: 02 Mar 2016,Bhutan,CY 2016,16,Illinois,5,Glendale Heights,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Bhutan,CY 2016,16,New York,2,Utica,2,225
From: 02 Mar 2016,To: 02 Mar 2016,Bhutan,CY 2016,16,North Dakota,5,Fargo,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Bhutan,CY 2016,16,Texas,4,Austin,4,225
From: 02 Mar 2016,To: 02 Mar 2016,Burma,CY 2016,33,Georgia,5,Atlanta,5,225
From: 02 Mar 2016,To: 02 Mar 2016,Burma,CY 2016,33,Illinois,3,Monmouth,3,225
