ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 27 Jan 2011,To: 27 Jan 2011,Arizona,CY 2011,18,Burma,10,Phoenix,10,460
From: 27 Jan 2011,To: 27 Jan 2011,Arizona,CY 2011,18,Somalia,8,Phoenix,7,460
From: 27 Jan 2011,To: 27 Jan 2011,Arizona,CY 2011,18,Somalia,8,Tucson,1,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Eritrea,2,Oakland,1,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Eritrea,2,San Diego,1,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Burbank,1,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Glendale,13,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Granada Hills,8,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Los Angeles,3,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Tujunga,5,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Turlock,3,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Van Nuys,1,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iran,35,Woodland Hills,1,460
From: 27 Jan 2011,To: 27 Jan 2011,California,CY 2011,42,Iraq,5,Glendale,5,460
From: 27 Jan 2011,To: 27 Jan 2011,Colorado,CY 2011,26,Bhutan,6,Denver,6,460
From: 27 Jan 2011,To: 27 Jan 2011,Colorado,CY 2011,26,Burma,17,Denver,12,460
From: 27 Jan 2011,To: 27 Jan 2011,Colorado,CY 2011,26,Burma,17,Greeley,5,460
From: 27 Jan 2011,To: 27 Jan 2011,Colorado,CY 2011,26,Cuba,3,Colorado Springs,3,460
From: 27 Jan 2011,To: 27 Jan 2011,Connecticut,CY 2011,5,Burma,5,Hartford,5,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Burma,7,Jacksonville,4,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Burma,7,Orlando,3,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Hialeah,6,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Jacksonville,1,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Miami,9,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Naples,3,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Opa-Locka,2,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Orlando,6,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Plantation,4,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,Saint Petersburg,4,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Cuba,38,West Palm Beach,3,460
From: 27 Jan 2011,To: 27 Jan 2011,Florida,CY 2011,46,Eritrea,1,Jacksonville,1,460
From: 27 Jan 2011,To: 27 Jan 2011,Georgia,CY 2011,37,Burma,15,Atlanta,11,460
From: 27 Jan 2011,To: 27 Jan 2011,Georgia,CY 2011,37,Burma,15,Clarkston,4,460
From: 27 Jan 2011,To: 27 Jan 2011,Georgia,CY 2011,37,Cuba,16,Atlanta,12,460
From: 27 Jan 2011,To: 27 Jan 2011,Georgia,CY 2011,37,Cuba,16,Hull,4,460
From: 27 Jan 2011,To: 27 Jan 2011,Georgia,CY 2011,37,Somalia,6,Decatur,1,460
From: 27 Jan 2011,To: 27 Jan 2011,Georgia,CY 2011,37,Somalia,6,Stone Mountain,5,460
From: 27 Jan 2011,To: 27 Jan 2011,Idaho,CY 2011,6,Bhutan,3,Twin Falls,3,460
From: 27 Jan 2011,To: 27 Jan 2011,Idaho,CY 2011,6,Eritrea,1,Twin Falls,1,460
