ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 09 Mar 2017,To: 09 Mar 2017,Arizona,CY 2017,12,Burma,4,Phoenix,4,147
From: 09 Mar 2017,To: 09 Mar 2017,Arizona,CY 2017,12,Burundi,6,Phoenix,6,147
From: 09 Mar 2017,To: 09 Mar 2017,Arizona,CY 2017,12,Dem. Rep. Congo,2,Phoenix,2,147
From: 09 Mar 2017,To: 09 Mar 2017,California,CY 2017,4,Ethiopia,1,San Jose,1,147
From: 09 Mar 2017,To: 09 Mar 2017,California,CY 2017,4,Iran,3,Glendale,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Colorado,CY 2017,7,Afghanistan,1,Denver,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Colorado,CY 2017,7,Eritrea,1,Denver,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Colorado,CY 2017,7,Iraq,1,Colorado Springs,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Colorado,CY 2017,7,Pakistan,4,Denver,4,147
From: 09 Mar 2017,To: 09 Mar 2017,Connecticut,CY 2017,4,Eritrea,3,Bridgeport,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Connecticut,CY 2017,4,Iraq,1,New Haven,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Florida,CY 2017,6,Cuba,3,Hialeah,2,147
From: 09 Mar 2017,To: 09 Mar 2017,Florida,CY 2017,6,Cuba,3,Miami Beach,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Florida,CY 2017,6,Pakistan,3,Tampa,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Georgia,CY 2017,2,Somalia,1,Stone Mountain,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Georgia,CY 2017,2,Sudan,1,Stone Mountain,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Illinois,CY 2017,2,Pakistan,2,Chicago,2,147
From: 09 Mar 2017,To: 09 Mar 2017,Indiana,CY 2017,4,Burma,4,Fort Wayne,4,147
From: 09 Mar 2017,To: 09 Mar 2017,Iowa,CY 2017,1,Eritrea,1,Des Moines,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Maine,CY 2017,3,Somalia,3,Portland,3,147
From: 09 Mar 2017,To: 09 Mar 2017,Michigan,CY 2017,2,Eritrea,1,Lansing,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Michigan,CY 2017,2,Ivory Coast,1,Lansing,1,147
From: 09 Mar 2017,To: 09 Mar 2017,Minnesota,CY 2017,6,Ethiopia,5,Austin,1,147
