ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Dec 2005,To: 01 Dec 2005,Arizona,CY 2005,4,Burma,1,Phoenix,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Arizona,CY 2005,4,Cuba,1,Tucson,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Arizona,CY 2005,4,Eritrea,1,Phoenix,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Arizona,CY 2005,4,Somalia,1,Phoenix,1,238
From: 01 Dec 2005,To: 01 Dec 2005,California,CY 2005,10,Eritrea,2,South El Monte,2,238
From: 01 Dec 2005,To: 01 Dec 2005,California,CY 2005,10,Somalia,3,Anaheim,1,238
From: 01 Dec 2005,To: 01 Dec 2005,California,CY 2005,10,Somalia,3,San Diego,2,238
From: 01 Dec 2005,To: 01 Dec 2005,California,CY 2005,10,Ukraine,5,Sacramento,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,Apopka,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,Hialeah,13,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,Hialeah Gardens,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,Jacksonville,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,Miami,11,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,Opa-Locka,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,Tampa,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Florida,CY 2005,40,Cuba,40,West Palm Beach,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Georgia,CY 2005,6,Eritrea,1,Stone Mountain,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Georgia,CY 2005,6,Somalia,5,Comer,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Georgia,CY 2005,6,Somalia,5,Decatur,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Illinois,CY 2005,2,Eritrea,1,Chicago,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Illinois,CY 2005,2,Iran,1,Rockford,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Indiana,CY 2005,10,Burma,6,Fort Wayne,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Indiana,CY 2005,10,Somalia,4,Indianapolis,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Kentucky,CY 2005,2,Cuba,2,Bowling Green,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Massachusetts,CY 2005,2,Eritrea,2,Boston,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Massachusetts,CY 2005,2,Eritrea,2,Worcester,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Michigan,CY 2005,5,Burma,5,Lansing,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Minnesota,CY 2005,3,Burma,3,Saint Paul,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Mississippi,CY 2005,5,Iran,5,Gulfport,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Missouri,CY 2005,3,Eritrea,3,Saint Louis,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Nevada,CY 2005,2,Cuba,2,Las Vegas,2,238
From: 01 Dec 2005,To: 01 Dec 2005,New Jersey,CY 2005,14,Cuba,7,Elizabeth,4,238
From: 01 Dec 2005,To: 01 Dec 2005,New Jersey,CY 2005,14,Cuba,7,Linden,3,238
From: 01 Dec 2005,To: 01 Dec 2005,New Jersey,CY 2005,14,Vietnam,7,Pennsauken,7,238
From: 01 Dec 2005,To: 01 Dec 2005,New York,CY 2005,3,Burma,2,Utica,2,238
From: 01 Dec 2005,To: 01 Dec 2005,New York,CY 2005,3,Cuba,1,Syracuse,1,238
From: 01 Dec 2005,To: 01 Dec 2005,North Carolina,CY 2005,42,Cuba,1,Charlotte,1,238
From: 01 Dec 2005,To: 01 Dec 2005,North Carolina,CY 2005,42,Eritrea,2,Charlotte,2,238
From: 01 Dec 2005,To: 01 Dec 2005,North Carolina,CY 2005,42,Vietnam,39,Charlotte,13,238
From: 01 Dec 2005,To: 01 Dec 2005,North Carolina,CY 2005,42,Vietnam,39,Durham,1,238
From: 01 Dec 2005,To: 01 Dec 2005,North Carolina,CY 2005,42,Vietnam,39,Greensboro,21,238
From: 01 Dec 2005,To: 01 Dec 2005,North Carolina,CY 2005,42,Vietnam,39,Raleigh,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Oregon,CY 2005,14,Russia,4,Portland,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Oregon,CY 2005,14,Ukraine,10,Portland,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Oregon,CY 2005,14,Ukraine,10,Troutdale,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Pennsylvania,CY 2005,1,Russia,1,Warminster,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Tennessee,CY 2005,4,Cuba,4,Nashville,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Burma,1,Dallas,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Cuba,7,Austin,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Cuba,7,Carrollton,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Cuba,7,Houston,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Eritrea,10,Dallas,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Eritrea,10,Fort Worth,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Eritrea,10,Houston,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Somalia,9,Fort Worth,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Texas,CY 2005,27,Somalia,9,Houston,7,238
From: 01 Dec 2005,To: 01 Dec 2005,Utah,CY 2005,7,Burma,4,Salt Lake City,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Utah,CY 2005,7,Somalia,3,Salt Lake City,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Virginia,CY 2005,11,Eritrea,1,Falls Church,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Virginia,CY 2005,11,Somalia,5,Fredericksburg,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Virginia,CY 2005,11,Ukraine,5,Harrisonburg,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Azerbaijan,1,Seattle,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Cuba,1,Spokane,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Eritrea,6,Seattle,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Eritrea,6,Tukwila,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Somalia,1,Spokane,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Ukraine,9,Federal Way,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Ukraine,9,Spokane Valley,7,238
From: 01 Dec 2005,To: 01 Dec 2005,Washington,CY 2005,18,Ukraine,9,Tacoma,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Wisconsin,CY 2005,3,Belarus,3,Glendale,3,238

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
From: 01 Dec 2005,To: 01 Dec 2005,Azerbaijan,CY 2005,1,Washington,1,Seattle,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Belarus,CY 2005,3,Wisconsin,3,Glendale,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Burma,CY 2005,22,Arizona,1,Phoenix,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Burma,CY 2005,22,Indiana,6,Fort Wayne,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Burma,CY 2005,22,Michigan,5,Lansing,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Burma,CY 2005,22,Minnesota,3,Saint Paul,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Burma,CY 2005,22,New York,2,Utica,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Burma,CY 2005,22,Texas,1,Dallas,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Burma,CY 2005,22,Utah,4,Salt Lake City,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Arizona,1,Tucson,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,Apopka,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,Hialeah,13,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,Hialeah Gardens,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,Jacksonville,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,Miami,11,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,Opa-Locka,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,Tampa,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Florida,40,West Palm Beach,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Kentucky,2,Bowling Green,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Nevada,2,Las Vegas,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,New Jersey,7,Elizabeth,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,New Jersey,7,Linden,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,New York,1,Syracuse,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,North Carolina,1,Charlotte,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Tennessee,4,Nashville,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Texas,7,Austin,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Texas,7,Carrollton,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Texas,7,Houston,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Cuba,CY 2005,66,Washington,1,Spokane,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Arizona,1,Phoenix,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,California,2,South El Monte,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Georgia,1,Stone Mountain,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Illinois,1,Chicago,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Massachusetts,2,Boston,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Massachusetts,2,Worcester,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Missouri,3,Saint Louis,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,North Carolina,2,Charlotte,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Texas,10,Dallas,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Texas,10,Fort Worth,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Texas,10,Houston,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Virginia,1,Falls Church,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Washington,6,Seattle,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Eritrea,CY 2005,29,Washington,6,Tukwila,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Iran,CY 2005,6,Illinois,1,Rockford,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Iran,CY 2005,6,Mississippi,5,Gulfport,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Russia,CY 2005,5,Oregon,4,Portland,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Russia,CY 2005,5,Pennsylvania,1,Warminster,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Arizona,1,Phoenix,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,California,3,Anaheim,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,California,3,San Diego,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Georgia,5,Comer,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Georgia,5,Decatur,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Indiana,4,Indianapolis,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Texas,9,Fort Worth,2,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Texas,9,Houston,7,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Utah,3,Salt Lake City,3,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Virginia,5,Fredericksburg,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Somalia,CY 2005,31,Washington,1,Spokane,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Ukraine,CY 2005,29,California,5,Sacramento,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Ukraine,CY 2005,29,Oregon,10,Portland,4,238
From: 01 Dec 2005,To: 01 Dec 2005,Ukraine,CY 2005,29,Oregon,10,Troutdale,6,238
From: 01 Dec 2005,To: 01 Dec 2005,Ukraine,CY 2005,29,Virginia,5,Harrisonburg,5,238
From: 01 Dec 2005,To: 01 Dec 2005,Ukraine,CY 2005,29,Washington,9,Federal Way,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Ukraine,CY 2005,29,Washington,9,Spokane Valley,7,238
From: 01 Dec 2005,To: 01 Dec 2005,Ukraine,CY 2005,29,Washington,9,Tacoma,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Vietnam,CY 2005,46,New Jersey,7,Pennsauken,7,238
From: 01 Dec 2005,To: 01 Dec 2005,Vietnam,CY 2005,46,North Carolina,39,Charlotte,13,238
From: 01 Dec 2005,To: 01 Dec 2005,Vietnam,CY 2005,46,North Carolina,39,Durham,1,238
From: 01 Dec 2005,To: 01 Dec 2005,Vietnam,CY 2005,46,North Carolina,39,Greensboro,21,238
From: 01 Dec 2005,To: 01 Dec 2005,Vietnam,CY 2005,46,North Carolina,39,Raleigh,4,238

