ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 22 Jan 2007,To: 22 Jan 2007,Arizona,CY 2007,9,Sierra Leone,9,Glendale,4,127
From: 22 Jan 2007,To: 22 Jan 2007,Arizona,CY 2007,9,Sierra Leone,9,Phoenix,5,127
From: 22 Jan 2007,To: 22 Jan 2007,California,CY 2007,12,Moldova,8,Sacramento,8,127
From: 22 Jan 2007,To: 22 Jan 2007,California,CY 2007,12,Ukraine,4,Citrus Heights,4,127
From: 22 Jan 2007,To: 22 Jan 2007,Colorado,CY 2007,8,Liberia,8,Colorado Springs,8,127
From: 22 Jan 2007,To: 22 Jan 2007,Florida,CY 2007,2,Russia,2,Jacksonville,2,127
From: 22 Jan 2007,To: 22 Jan 2007,Georgia,CY 2007,6,Ukraine,6,Covington,6,127
From: 22 Jan 2007,To: 22 Jan 2007,Idaho,CY 2007,4,Russia,4,Twin Falls,4,127
From: 22 Jan 2007,To: 22 Jan 2007,Illinois,CY 2007,13,Liberia,4,Chicago,4,127
From: 22 Jan 2007,To: 22 Jan 2007,Illinois,CY 2007,13,Russia,9,Wheaton,9,127
From: 22 Jan 2007,To: 22 Jan 2007,Massachusetts,CY 2007,8,Moldova,8,Greenfield,8,127
From: 22 Jan 2007,To: 22 Jan 2007,Minnesota,CY 2007,8,Moldova,8,Blaine,8,127
From: 22 Jan 2007,To: 22 Jan 2007,Missouri,CY 2007,5,Liberia,5,Saint Louis,5,127
From: 22 Jan 2007,To: 22 Jan 2007,New York,CY 2007,4,Liberia,4,Rochester,4,127
From: 22 Jan 2007,To: 22 Jan 2007,North Carolina,CY 2007,2,Ukraine,2,Asheville,2,127
From: 22 Jan 2007,To: 22 Jan 2007,Oregon,CY 2007,4,Moldova,1,Portland,1,127
From: 22 Jan 2007,To: 22 Jan 2007,Oregon,CY 2007,4,Russia,3,Portland,3,127
From: 22 Jan 2007,To: 22 Jan 2007,Pennsylvania,CY 2007,3,Russia,3,Scranton,3,127
From: 22 Jan 2007,To: 22 Jan 2007,Rhode Island,CY 2007,1,Liberia,1,Providence,1,127
From: 22 Jan 2007,To: 22 Jan 2007,Texas,CY 2007,6,Liberia,6,Houston,6,127
From: 22 Jan 2007,To: 22 Jan 2007,Virginia,CY 2007,5,Liberia,5,Charlottesville,5,127
From: 22 Jan 2007,To: 22 Jan 2007,Washington,CY 2007,27,Moldova,10,Federal Way,2,127
From: 22 Jan 2007,To: 22 Jan 2007,Washington,CY 2007,27,Moldova,10,Spokane,8,127
From: 22 Jan 2007,To: 22 Jan 2007,Washington,CY 2007,27,Russia,8,Marysville,6,127
From: 22 Jan 2007,To: 22 Jan 2007,Washington,CY 2007,27,Russia,8,Seattle,2,127
From: 22 Jan 2007,To: 22 Jan 2007,Washington,CY 2007,27,Ukraine,9,Kent,2,127
From: 22 Jan 2007,To: 22 Jan 2007,Washington,CY 2007,27,Ukraine,9,Vancouver,7,127

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
