ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 20 Feb 2002,To: 20 Feb 2002,Arizona,CY 2002,7,Afghanistan,6,Phoenix,6,188
From: 20 Feb 2002,To: 20 Feb 2002,Arizona,CY 2002,7,Cuba,1,Phoenix,1,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Afghanistan,11,Newport Beach,1,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Afghanistan,11,San Diego,5,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Afghanistan,11,San Francisco,5,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Belarus,6,Fair Oaks,6,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Vietnam,24,Daly City,2,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Vietnam,24,Garden Grove,1,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Vietnam,24,San Diego,3,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Vietnam,24,San Gabriel,1,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Vietnam,24,San Jose,15,188
From: 20 Feb 2002,To: 20 Feb 2002,California,CY 2002,41,Vietnam,24,Westminster,2,188
From: 20 Feb 2002,To: 20 Feb 2002,Colorado,CY 2002,1,Russia,1,Arvada,1,188
From: 20 Feb 2002,To: 20 Feb 2002,Florida,CY 2002,21,Bosnia and Herzegovina,5,Port Richey,5,188
From: 20 Feb 2002,To: 20 Feb 2002,Florida,CY 2002,21,Cuba,13,Hialeah,9,188
From: 20 Feb 2002,To: 20 Feb 2002,Florida,CY 2002,21,Cuba,13,Homestead,2,188
From: 20 Feb 2002,To: 20 Feb 2002,Florida,CY 2002,21,Cuba,13,Miami,2,188
From: 20 Feb 2002,To: 20 Feb 2002,Florida,CY 2002,21,Vietnam,3,Tampa,3,188
From: 20 Feb 2002,To: 20 Feb 2002,Georgia,CY 2002,5,Serbia,5,Lilburn,5,188
From: 20 Feb 2002,To: 20 Feb 2002,Illinois,CY 2002,9,Bosnia and Herzegovina,4,Chicago,4,188
From: 20 Feb 2002,To: 20 Feb 2002,Illinois,CY 2002,9,Russia,2,Skokie,2,188
From: 20 Feb 2002,To: 20 Feb 2002,Illinois,CY 2002,9,Vietnam,3,Champaign,3,188
From: 20 Feb 2002,To: 20 Feb 2002,Maryland,CY 2002,12,Bosnia and Herzegovina,5,Baltimore,5,188
From: 20 Feb 2002,To: 20 Feb 2002,Maryland,CY 2002,12,Cuba,7,Baltimore,7,188
From: 20 Feb 2002,To: 20 Feb 2002,Massachusetts,CY 2002,6,Russia,4,Allston,2,188
From: 20 Feb 2002,To: 20 Feb 2002,Massachusetts,CY 2002,6,Russia,4,Danvers,2,188
From: 20 Feb 2002,To: 20 Feb 2002,Massachusetts,CY 2002,6,Vietnam,2,Dorchester,2,188
From: 20 Feb 2002,To: 20 Feb 2002,Michigan,CY 2002,11,Afghanistan,4,Grand Rapids,4,188
