ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 31 Jul 2012,To: 31 Jul 2012,Arizona,CY 2012,3,Iraq,3,Gilbert,3,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Burma,6,Sacramento,1,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Burma,6,San Diego,5,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Iran,2,Walnut Creek,2,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Iraq,41,Concord,1,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Iraq,41,El Cajon,29,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Iraq,41,Glendale,5,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Iraq,41,La Mesa,1,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Iraq,41,San Diego,5,423
From: 31 Jul 2012,To: 31 Jul 2012,California,CY 2012,55,Uzbekistan,6,San Diego,6,423
From: 31 Jul 2012,To: 31 Jul 2012,Colorado,CY 2012,12,Bhutan,8,Aurora,8,423
From: 31 Jul 2012,To: 31 Jul 2012,Colorado,CY 2012,12,Burma,4,Denver,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Connecticut,CY 2012,8,Bhutan,6,Hartford,6,423
From: 31 Jul 2012,To: 31 Jul 2012,Connecticut,CY 2012,8,Iraq,2,New Haven,2,423
From: 31 Jul 2012,To: 31 Jul 2012,Florida,CY 2012,25,Cuba,21,Miami,7,423
From: 31 Jul 2012,To: 31 Jul 2012,Florida,CY 2012,25,Cuba,21,Orlando,9,423
From: 31 Jul 2012,To: 31 Jul 2012,Florida,CY 2012,25,Cuba,21,Tampa,5,423
From: 31 Jul 2012,To: 31 Jul 2012,Florida,CY 2012,25,Iraq,4,Palm Springs,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Georgia,CY 2012,19,Bhutan,10,Clarkston,10,423
From: 31 Jul 2012,To: 31 Jul 2012,Georgia,CY 2012,19,Burma,6,Atlanta,6,423
From: 31 Jul 2012,To: 31 Jul 2012,Georgia,CY 2012,19,Iraq,3,Lawrenceville,3,423
From: 31 Jul 2012,To: 31 Jul 2012,Idaho,CY 2012,2,Uzbekistan,2,Boise,2,423
From: 31 Jul 2012,To: 31 Jul 2012,Illinois,CY 2012,6,Burma,1,Aurora,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Illinois,CY 2012,6,Iraq,5,Chicago,2,423
From: 31 Jul 2012,To: 31 Jul 2012,Illinois,CY 2012,6,Iraq,5,Lincolnwood,3,423
From: 31 Jul 2012,To: 31 Jul 2012,Indiana,CY 2012,5,Burma,5,Indianapolis,5,423
From: 31 Jul 2012,To: 31 Jul 2012,Kentucky,CY 2012,22,Burma,10,Louisville,6,423
From: 31 Jul 2012,To: 31 Jul 2012,Kentucky,CY 2012,22,Burma,10,Owensboro,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Kentucky,CY 2012,22,Iraq,2,Louisville,2,423
From: 31 Jul 2012,To: 31 Jul 2012,Kentucky,CY 2012,22,Pakistan,10,Louisville,10,423
From: 31 Jul 2012,To: 31 Jul 2012,Massachusetts,CY 2012,4,Bhutan,3,West Springfield,3,423
From: 31 Jul 2012,To: 31 Jul 2012,Massachusetts,CY 2012,4,Iraq,1,South Boston,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Michigan,CY 2012,23,Bhutan,6,Grandville,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Michigan,CY 2012,23,Bhutan,6,Lansing,2,423
From: 31 Jul 2012,To: 31 Jul 2012,Michigan,CY 2012,23,Iraq,17,Southfield,17,423
From: 31 Jul 2012,To: 31 Jul 2012,Minnesota,CY 2012,1,Iraq,1,Maplewood,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Missouri,CY 2012,9,Bhutan,4,Saint Louis,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Missouri,CY 2012,9,Burma,4,Kansas City,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Missouri,CY 2012,9,Iraq,1,Saint Louis,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Nebraska,CY 2012,13,Burma,9,Lincoln,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Nebraska,CY 2012,13,Burma,9,Omaha,8,423
From: 31 Jul 2012,To: 31 Jul 2012,Nebraska,CY 2012,13,Iraq,4,Lincoln,4,423
From: 31 Jul 2012,To: 31 Jul 2012,New Mexico,CY 2012,6,Cuba,6,Albuquerque,6,423
From: 31 Jul 2012,To: 31 Jul 2012,New York,CY 2012,29,Bhutan,15,Buffalo,10,423
From: 31 Jul 2012,To: 31 Jul 2012,New York,CY 2012,29,Bhutan,15,Syracuse,5,423
From: 31 Jul 2012,To: 31 Jul 2012,New York,CY 2012,29,Burma,7,Utica,7,423
From: 31 Jul 2012,To: 31 Jul 2012,New York,CY 2012,29,Iraq,7,Buffalo,1,423
From: 31 Jul 2012,To: 31 Jul 2012,New York,CY 2012,29,Iraq,7,Rochester,6,423
From: 31 Jul 2012,To: 31 Jul 2012,North Carolina,CY 2012,13,Bhutan,6,Charlotte,3,423
From: 31 Jul 2012,To: 31 Jul 2012,North Carolina,CY 2012,13,Bhutan,6,Greensboro,3,423
From: 31 Jul 2012,To: 31 Jul 2012,North Carolina,CY 2012,13,Burma,3,Raleigh,3,423
From: 31 Jul 2012,To: 31 Jul 2012,North Carolina,CY 2012,13,Cuba,3,Zebulon,3,423
From: 31 Jul 2012,To: 31 Jul 2012,North Carolina,CY 2012,13,Iraq,1,Charlotte,1,423
From: 31 Jul 2012,To: 31 Jul 2012,North Dakota,CY 2012,3,Bhutan,3,Fargo,3,423
From: 31 Jul 2012,To: 31 Jul 2012,Ohio,CY 2012,27,Bhutan,22,Akron,20,423
From: 31 Jul 2012,To: 31 Jul 2012,Ohio,CY 2012,27,Bhutan,22,Columbus,2,423
From: 31 Jul 2012,To: 31 Jul 2012,Ohio,CY 2012,27,Burma,1,Akron,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Ohio,CY 2012,27,Iraq,4,Brooklyn,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Oregon,CY 2012,1,Iraq,1,Portland,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Pennsylvania,CY 2012,11,Bhutan,11,Philadelphia,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Pennsylvania,CY 2012,11,Bhutan,11,Pittsburgh,7,423
From: 31 Jul 2012,To: 31 Jul 2012,South Dakota,CY 2012,16,Bhutan,12,Sioux Falls,12,423
From: 31 Jul 2012,To: 31 Jul 2012,South Dakota,CY 2012,16,Burma,4,Huron,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Tennessee,CY 2012,4,Burma,3,Nashville,3,423
From: 31 Jul 2012,To: 31 Jul 2012,Tennessee,CY 2012,4,Eritrea,1,Nashville,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Texas,CY 2012,36,Bhutan,1,Dallas,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Texas,CY 2012,36,Burma,3,Amarillo,1,423
From: 31 Jul 2012,To: 31 Jul 2012,Texas,CY 2012,36,Burma,3,Dallas,2,423
From: 31 Jul 2012,To: 31 Jul 2012,Texas,CY 2012,36,Cuba,4,Cypress,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Texas,CY 2012,36,Iraq,28,Arlington,4,423
From: 31 Jul 2012,To: 31 Jul 2012,Texas,CY 2012,36,Iraq,28,Austin,7,423
