ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 05 Apr 2011,To: 05 Apr 2011,California,CY 2011,3,Iran,3,Glendale,3,31
From: 05 Apr 2011,To: 05 Apr 2011,Colorado,CY 2011,4,Bhutan,4,Denver,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Maryland,CY 2011,1,Iran,1,Rockville,1,31
From: 05 Apr 2011,To: 05 Apr 2011,Massachusetts,CY 2011,1,Iraq,1,Springfield,1,31
From: 05 Apr 2011,To: 05 Apr 2011,Missouri,CY 2011,4,Sudan,4,Saint Louis,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Nebraska,CY 2011,4,Bhutan,4,Omaha,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Ohio,CY 2011,3,Burma,3,Columbus,3,31
From: 05 Apr 2011,To: 05 Apr 2011,Pennsylvania,CY 2011,4,Bhutan,4,Scranton,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Washington,CY 2011,6,Bhutan,2,Seattle,2,31
From: 05 Apr 2011,To: 05 Apr 2011,Washington,CY 2011,6,Cuba,4,Pasco,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Wisconsin,CY 2011,1,Iraq,1,Milwaukee,1,31

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
From: 05 Apr 2011,To: 05 Apr 2011,Bhutan,CY 2011,14,Colorado,4,Denver,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Bhutan,CY 2011,14,Nebraska,4,Omaha,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Bhutan,CY 2011,14,Pennsylvania,4,Scranton,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Bhutan,CY 2011,14,Washington,2,Seattle,2,31
From: 05 Apr 2011,To: 05 Apr 2011,Burma,CY 2011,3,Ohio,3,Columbus,3,31
From: 05 Apr 2011,To: 05 Apr 2011,Cuba,CY 2011,4,Washington,4,Pasco,4,31
From: 05 Apr 2011,To: 05 Apr 2011,Iran,CY 2011,4,California,3,Glendale,3,31
From: 05 Apr 2011,To: 05 Apr 2011,Iran,CY 2011,4,Maryland,1,Rockville,1,31
From: 05 Apr 2011,To: 05 Apr 2011,Iraq,CY 2011,2,Massachusetts,1,Springfield,1,31
From: 05 Apr 2011,To: 05 Apr 2011,Iraq,CY 2011,2,Wisconsin,1,Milwaukee,1,31
From: 05 Apr 2011,To: 05 Apr 2011,Sudan,CY 2011,4,Missouri,4,Saint Louis,4,31

