ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 12 Aug 2005,To: 12 Aug 2005,Arizona,CY 2005,6,Sierra Leone,6,Phoenix,6,136
From: 12 Aug 2005,To: 12 Aug 2005,California,CY 2005,3,Sudan,3,San Diego,3,136
From: 12 Aug 2005,To: 12 Aug 2005,Illinois,CY 2005,9,Russia,9,Aurora,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Illinois,CY 2005,9,Russia,9,Rockford,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Indiana,CY 2005,4,Russia,4,South Bend,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Kentucky,CY 2005,3,Liberia,3,Lexington,3,136
From: 12 Aug 2005,To: 12 Aug 2005,Maryland,CY 2005,14,Russia,6,Baltimore,6,136
From: 12 Aug 2005,To: 12 Aug 2005,Maryland,CY 2005,14,Sierra Leone,8,Baltimore,1,136
From: 12 Aug 2005,To: 12 Aug 2005,Maryland,CY 2005,14,Sierra Leone,8,Montgomery Village,7,136
From: 12 Aug 2005,To: 12 Aug 2005,Massachusetts,CY 2005,6,Russia,6,West Springfield,6,136
From: 12 Aug 2005,To: 12 Aug 2005,Michigan,CY 2005,5,Russia,5,Grandville,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Missouri,CY 2005,5,Russia,5,Jefferson City,5,136
From: 12 Aug 2005,To: 12 Aug 2005,New Hampshire,CY 2005,3,Russia,3,Concord,3,136
From: 12 Aug 2005,To: 12 Aug 2005,New York,CY 2005,22,Liberia,12,Buffalo,2,136
From: 12 Aug 2005,To: 12 Aug 2005,New York,CY 2005,22,Liberia,12,Springfield Gardens,6,136
From: 12 Aug 2005,To: 12 Aug 2005,New York,CY 2005,22,Liberia,12,Staten Island,4,136
From: 12 Aug 2005,To: 12 Aug 2005,New York,CY 2005,22,Russia,10,Syracuse,10,136
From: 12 Aug 2005,To: 12 Aug 2005,Pennsylvania,CY 2005,12,Georgia,2,Feasterville Trevose,2,136
From: 12 Aug 2005,To: 12 Aug 2005,Pennsylvania,CY 2005,12,Liberia,3,Philadelphia,3,136
From: 12 Aug 2005,To: 12 Aug 2005,Pennsylvania,CY 2005,12,Russia,7,Erie,7,136
From: 12 Aug 2005,To: 12 Aug 2005,South Dakota,CY 2005,5,Liberia,5,Sioux Falls,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Tennessee,CY 2005,14,Liberia,5,Chattanooga,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Tennessee,CY 2005,14,Russia,9,Knoxville,9,136
From: 12 Aug 2005,To: 12 Aug 2005,Texas,CY 2005,16,Liberia,12,Dallas,8,136
From: 12 Aug 2005,To: 12 Aug 2005,Texas,CY 2005,16,Liberia,12,Garland,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Texas,CY 2005,16,Russia,4,Austin,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Utah,CY 2005,7,Liberia,7,Salt Lake City,7,136
From: 12 Aug 2005,To: 12 Aug 2005,Virginia,CY 2005,2,Russia,2,Charlottesville,2,136

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
From: 12 Aug 2005,To: 12 Aug 2005,Georgia,CY 2005,2,Pennsylvania,2,Feasterville Trevose,2,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,Kentucky,3,Lexington,3,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,New York,12,Buffalo,2,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,New York,12,Springfield Gardens,6,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,New York,12,Staten Island,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,Pennsylvania,3,Philadelphia,3,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,South Dakota,5,Sioux Falls,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,Tennessee,5,Chattanooga,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,Texas,12,Dallas,8,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,Texas,12,Garland,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Liberia,CY 2005,47,Utah,7,Salt Lake City,7,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Illinois,9,Aurora,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Illinois,9,Rockford,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Indiana,4,South Bend,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Maryland,6,Baltimore,6,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Massachusetts,6,West Springfield,6,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Michigan,5,Grandville,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Missouri,5,Jefferson City,5,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,New Hampshire,3,Concord,3,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,New York,10,Syracuse,10,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Pennsylvania,7,Erie,7,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Tennessee,9,Knoxville,9,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Texas,4,Austin,4,136
From: 12 Aug 2005,To: 12 Aug 2005,Russia,CY 2005,70,Virginia,2,Charlottesville,2,136
From: 12 Aug 2005,To: 12 Aug 2005,Sierra Leone,CY 2005,14,Arizona,6,Phoenix,6,136
From: 12 Aug 2005,To: 12 Aug 2005,Sierra Leone,CY 2005,14,Maryland,8,Baltimore,1,136
From: 12 Aug 2005,To: 12 Aug 2005,Sierra Leone,CY 2005,14,Maryland,8,Montgomery Village,7,136
From: 12 Aug 2005,To: 12 Aug 2005,Sudan,CY 2005,3,California,3,San Diego,3,136

