ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 12 Oct 2010,To: 12 Oct 2010,Arizona,CY 2010,8,Iraq,8,Glendale,5,406
From: 12 Oct 2010,To: 12 Oct 2010,Arizona,CY 2010,8,Iraq,8,Phoenix,2,406
From: 12 Oct 2010,To: 12 Oct 2010,Arizona,CY 2010,8,Iraq,8,Tucson,1,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Bhutan,3,San Jose,3,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Eritrea,2,San Diego,1,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Eritrea,2,San Jose,1,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iran,26,Burbank,6,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iran,26,Glendale,16,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iran,26,La Crescenta,1,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iran,26,Los Angeles,3,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,Bonita,6,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,El Cajon,24,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,Glendale,8,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,Huntington Beach,6,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,La Mesa,3,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,Sacramento,4,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,San Jose,1,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,San Marcos,8,406
From: 12 Oct 2010,To: 12 Oct 2010,California,CY 2010,99,Iraq,68,Spring Valley,8,406
From: 12 Oct 2010,To: 12 Oct 2010,Colorado,CY 2010,8,Bhutan,5,Denver,5,406
