ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 11 May 2004,To: 11 May 2004,Arizona,CY 2004,25,Burundi,1,Phoenix,1,291
From: 11 May 2004,To: 11 May 2004,Arizona,CY 2004,25,Colombia,7,Phoenix,7,291
From: 11 May 2004,To: 11 May 2004,Arizona,CY 2004,25,Dem. Rep. Congo,5,Phoenix,5,291
From: 11 May 2004,To: 11 May 2004,Arizona,CY 2004,25,Iran,5,Phoenix,5,291
From: 11 May 2004,To: 11 May 2004,Arizona,CY 2004,25,Liberia,7,Phoenix,5,291
From: 11 May 2004,To: 11 May 2004,Arizona,CY 2004,25,Liberia,7,Tucson,2,291
From: 11 May 2004,To: 11 May 2004,California,CY 2004,17,Iran,2,Fair Oaks,1,291
From: 11 May 2004,To: 11 May 2004,California,CY 2004,17,Iran,2,La Habra,1,291
From: 11 May 2004,To: 11 May 2004,California,CY 2004,17,Liberia,9,San Diego,7,291
From: 11 May 2004,To: 11 May 2004,California,CY 2004,17,Liberia,9,San Jose,2,291
From: 11 May 2004,To: 11 May 2004,California,CY 2004,17,Ukraine,6,North Highlands,4,291
From: 11 May 2004,To: 11 May 2004,California,CY 2004,17,Ukraine,6,Sacramento,2,291
From: 11 May 2004,To: 11 May 2004,Colorado,CY 2004,7,Dem. Rep. Congo,6,Colorado Springs,6,291
From: 11 May 2004,To: 11 May 2004,Colorado,CY 2004,7,Liberia,1,Colorado Springs,1,291
From: 11 May 2004,To: 11 May 2004,Connecticut,CY 2004,5,Liberia,5,Branford,2,291
From: 11 May 2004,To: 11 May 2004,Connecticut,CY 2004,5,Liberia,5,Hartford,2,291
From: 11 May 2004,To: 11 May 2004,Connecticut,CY 2004,5,Liberia,5,North Haven,1,291
From: 11 May 2004,To: 11 May 2004,Florida,CY 2004,15,Colombia,11,Miami,6,291
