ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 28 Jan 2004,To: 28 Jan 2004,Arizona,CY 2004,14,Iran,2,Phoenix,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Arizona,CY 2004,14,Liberia,1,Phoenix,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Arizona,CY 2004,14,Sudan,11,Glendale,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Arizona,CY 2004,14,Sudan,11,Phoenix,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Arizona,CY 2004,14,Sudan,11,Tucson,5,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Beverly Hills,1,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Canoga Park,2,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Encino,3,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,La Mirada,1,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Los Angeles,5,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Pleasant Hill,1,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Sacramento,3,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Santa Monica,1,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Iran,20,Van Nuys,3,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Liberia,1,San Jose,1,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Lithuania,3,Los Angeles,3,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Sierra Leone,5,Los Angeles,5,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Sudan,5,San Diego,5,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Vietnam,13,Fountain Valley,3,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Vietnam,13,Rosemead,3,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Vietnam,13,San Gabriel,3,441
From: 28 Jan 2004,To: 28 Jan 2004,California,CY 2004,47,Vietnam,13,Westminster,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Colorado,CY 2004,1,Iran,1,Aurora,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Connecticut,CY 2004,3,Vietnam,3,Bridgeport,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Florida,CY 2004,20,Cuba,20,Hialeah,10,441
From: 28 Jan 2004,To: 28 Jan 2004,Florida,CY 2004,20,Cuba,20,Kendall,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Florida,CY 2004,20,Cuba,20,Miami,8,441
From: 28 Jan 2004,To: 28 Jan 2004,Florida,CY 2004,20,Cuba,20,Royal Palm Beach,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Afghanistan,3,Decatur,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Ethiopia,11,Clarkston,7,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Ethiopia,11,Stone Mountain,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Iran,8,Atlanta,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Iran,8,Tucker,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Liberia,5,Atlanta,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Liberia,5,Clarkston,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Liberia,5,Lithonia,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Somalia,13,Clarkston,13,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Vietnam,6,Norcross,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Georgia,CY 2004,46,Vietnam,6,Tucker,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Idaho,CY 2004,1,Iran,1,Twin Falls,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Illinois,CY 2004,28,Cuba,5,Chicago,5,441
From: 28 Jan 2004,To: 28 Jan 2004,Illinois,CY 2004,28,Iran,2,Bloomington,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Illinois,CY 2004,28,Iran,2,Wheaton,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Illinois,CY 2004,28,Liberia,16,Chicago,10,441
From: 28 Jan 2004,To: 28 Jan 2004,Illinois,CY 2004,28,Liberia,16,Rockford,6,441
From: 28 Jan 2004,To: 28 Jan 2004,Illinois,CY 2004,28,Sierra Leone,1,Bolingbrook,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Illinois,CY 2004,28,Sudan,4,Chicago,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Indiana,CY 2004,10,Liberia,3,Indianapolis,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Indiana,CY 2004,10,Somalia,7,Fort Wayne,7,441
From: 28 Jan 2004,To: 28 Jan 2004,Iowa,CY 2004,13,Liberia,8,Des Moines,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Iowa,CY 2004,13,Liberia,8,Muscatine,7,441
From: 28 Jan 2004,To: 28 Jan 2004,Iowa,CY 2004,13,Sudan,5,Des Moines,5,441
From: 28 Jan 2004,To: 28 Jan 2004,Kentucky,CY 2004,9,Liberia,3,Louisville,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Kentucky,CY 2004,9,Somalia,6,Louisville,6,441
From: 28 Jan 2004,To: 28 Jan 2004,Louisiana,CY 2004,3,Liberia,3,Baton Rouge,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Louisiana,CY 2004,3,Liberia,3,New Orleans,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Maryland,CY 2004,6,Ethiopia,4,Baltimore,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Maryland,CY 2004,6,Sierra Leone,1,Greenbelt,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Maryland,CY 2004,6,Sudan,1,Woodbine,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Massachusetts,CY 2004,6,Belarus,2,West Springfield,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Massachusetts,CY 2004,6,Estonia,1,Westfield,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Massachusetts,CY 2004,6,Iran,1,Boston,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Massachusetts,CY 2004,6,Vietnam,2,Dorchester,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Michigan,CY 2004,7,Cuba,3,Grand Rapids,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Michigan,CY 2004,7,Liberia,2,Grand Rapids,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Michigan,CY 2004,7,Sudan,2,Lansing,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Minnesota,CY 2004,22,Liberia,22,Brooklyn Center,13,441
From: 28 Jan 2004,To: 28 Jan 2004,Minnesota,CY 2004,22,Liberia,22,Lakeville,6,441
From: 28 Jan 2004,To: 28 Jan 2004,Minnesota,CY 2004,22,Liberia,22,Minneapolis,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Missouri,CY 2004,22,Iran,2,Maryland Heights,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Missouri,CY 2004,22,Liberia,3,Saint Louis,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Missouri,CY 2004,22,Somalia,17,Saint Louis,17,441
From: 28 Jan 2004,To: 28 Jan 2004,Montana,CY 2004,7,Belarus,7,Missoula,7,441
From: 28 Jan 2004,To: 28 Jan 2004,Nebraska,CY 2004,12,Sudan,12,Bellevue,8,441
From: 28 Jan 2004,To: 28 Jan 2004,Nebraska,CY 2004,12,Sudan,12,Lincoln,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Nevada,CY 2004,3,Cuba,3,Las Vegas,3,441
From: 28 Jan 2004,To: 28 Jan 2004,New Jersey,CY 2004,23,Liberia,21,Newark,21,441
From: 28 Jan 2004,To: 28 Jan 2004,New Jersey,CY 2004,23,Sierra Leone,1,Somerset,1,441
From: 28 Jan 2004,To: 28 Jan 2004,New Jersey,CY 2004,23,Somalia,1,Paterson,1,441
From: 28 Jan 2004,To: 28 Jan 2004,New York,CY 2004,2,Liberia,2,Albany,1,441
From: 28 Jan 2004,To: 28 Jan 2004,New York,CY 2004,2,Liberia,2,Staten Island,1,441
From: 28 Jan 2004,To: 28 Jan 2004,North Carolina,CY 2004,5,Iran,3,Hillsborough,3,441
From: 28 Jan 2004,To: 28 Jan 2004,North Carolina,CY 2004,5,Somalia,1,Greensboro,1,441
From: 28 Jan 2004,To: 28 Jan 2004,North Carolina,CY 2004,5,Vietnam,1,Charlotte,1,441
From: 28 Jan 2004,To: 28 Jan 2004,North Dakota,CY 2004,3,Somalia,3,Fargo,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Ohio,CY 2004,7,Liberia,3,Dayton,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Ohio,CY 2004,7,Sudan,4,Cincinnati,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Pennsylvania,CY 2004,26,Belarus,5,Ephrata,5,441
From: 28 Jan 2004,To: 28 Jan 2004,Pennsylvania,CY 2004,26,Liberia,17,Bensalem,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Pennsylvania,CY 2004,26,Liberia,17,Bristol,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Pennsylvania,CY 2004,26,Liberia,17,Sharon Hill,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Pennsylvania,CY 2004,26,Liberia,17,Upper Darby,10,441
From: 28 Jan 2004,To: 28 Jan 2004,Pennsylvania,CY 2004,26,Sudan,4,Lancaster,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Tennessee,CY 2004,2,Cuba,2,Kingsport,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Dem. Rep. Congo,2,Dallas,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Iran,2,Missouri City,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Iran,2,Plano,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Liberia,27,Amarillo,7,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Liberia,27,Arlington,5,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Liberia,27,Dallas,6,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Liberia,27,Houston,9,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Sudan,13,Amarillo,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Sudan,13,Austin,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Sudan,13,Garland,5,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Sudan,13,Grand Prairie,5,441
From: 28 Jan 2004,To: 28 Jan 2004,Texas,CY 2004,46,Vietnam,2,Houston,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Utah,CY 2004,5,Cuba,2,Salt Lake City,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Utah,CY 2004,5,Iran,3,Salt Lake City,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Vermont,CY 2004,4,Somalia,4,Colchester,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Virginia,CY 2004,19,Liberia,7,Charlottesville,7,441
From: 28 Jan 2004,To: 28 Jan 2004,Virginia,CY 2004,19,Somalia,8,Alexandria,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Virginia,CY 2004,19,Somalia,8,Roanoke,6,441
From: 28 Jan 2004,To: 28 Jan 2004,Virginia,CY 2004,19,Vietnam,4,Arlington,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Virginia,CY 2004,19,Vietnam,4,Falls Church,1,441
From: 28 Jan 2004,To: 28 Jan 2004,Washington,CY 2004,18,Belarus,9,Everett,9,441
From: 28 Jan 2004,To: 28 Jan 2004,Washington,CY 2004,18,Iran,3,Seattle,3,441
From: 28 Jan 2004,To: 28 Jan 2004,Washington,CY 2004,18,Liberia,2,Seattle,2,441
From: 28 Jan 2004,To: 28 Jan 2004,Washington,CY 2004,18,Vietnam,4,Seattle,4,441
From: 28 Jan 2004,To: 28 Jan 2004,Wisconsin,CY 2004,1,Liberia,1,Milwaukee,1,441

