ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 22 Jun 2011,To: 22 Jun 2011,Arizona,CY 2011,9,Bhutan,3,Phoenix,3,286
From: 22 Jun 2011,To: 22 Jun 2011,Arizona,CY 2011,9,Burma,6,Phoenix,6,286
From: 22 Jun 2011,To: 22 Jun 2011,California,CY 2011,3,Iraq,2,Glendale,1,286
From: 22 Jun 2011,To: 22 Jun 2011,California,CY 2011,3,Iraq,2,San Diego,1,286
From: 22 Jun 2011,To: 22 Jun 2011,California,CY 2011,3,Syria,1,El Cajon,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Colorado,CY 2011,9,Bhutan,3,Aurora,3,286
From: 22 Jun 2011,To: 22 Jun 2011,Colorado,CY 2011,9,Burma,6,Denver,6,286
From: 22 Jun 2011,To: 22 Jun 2011,Connecticut,CY 2011,5,Burma,5,Hartford,5,286
From: 22 Jun 2011,To: 22 Jun 2011,Florida,CY 2011,4,Burma,4,Clearwater,4,286
From: 22 Jun 2011,To: 22 Jun 2011,Georgia,CY 2011,9,Bhutan,5,Atlanta,5,286
From: 22 Jun 2011,To: 22 Jun 2011,Georgia,CY 2011,9,Burma,4,Clarkston,4,286
From: 22 Jun 2011,To: 22 Jun 2011,Idaho,CY 2011,8,Burma,7,Boise,6,286
From: 22 Jun 2011,To: 22 Jun 2011,Idaho,CY 2011,8,Burma,7,Twin Falls,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Idaho,CY 2011,8,Somalia,1,Boise,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Illinois,CY 2011,4,Burma,4,Chicago,3,286
From: 22 Jun 2011,To: 22 Jun 2011,Illinois,CY 2011,4,Burma,4,Rock Island,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Indiana,CY 2011,14,Burma,14,Fort Wayne,5,286
From: 22 Jun 2011,To: 22 Jun 2011,Indiana,CY 2011,14,Burma,14,Indianapolis,9,286
From: 22 Jun 2011,To: 22 Jun 2011,Kentucky,CY 2011,7,Bhutan,4,Louisville,4,286
From: 22 Jun 2011,To: 22 Jun 2011,Kentucky,CY 2011,7,Burma,2,Louisville,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Kentucky,CY 2011,7,Burma,2,Owensboro,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Kentucky,CY 2011,7,Somalia,1,Louisville,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Louisiana,CY 2011,1,Burma,1,Baton Rouge,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Maryland,CY 2011,11,Eritrea,6,Baltimore,2,286
From: 22 Jun 2011,To: 22 Jun 2011,Maryland,CY 2011,11,Eritrea,6,Silver Spring,4,286
From: 22 Jun 2011,To: 22 Jun 2011,Maryland,CY 2011,11,Somalia,5,Silver Spring,5,286
From: 22 Jun 2011,To: 22 Jun 2011,Massachusetts,CY 2011,4,Bhutan,3,Worcester,3,286
From: 22 Jun 2011,To: 22 Jun 2011,Massachusetts,CY 2011,4,Iraq,1,Worcester,1,286
From: 22 Jun 2011,To: 22 Jun 2011,Michigan,CY 2011,37,Afghanistan,2,Southfield,2,286
From: 22 Jun 2011,To: 22 Jun 2011,Michigan,CY 2011,37,Bhutan,16,Lansing,16,286
