ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 07 Feb 2002,To: 07 Feb 2002,California,CY 2002,16,Bosnia and Herzegovina,6,Palm Springs,5,175
From: 07 Feb 2002,To: 07 Feb 2002,California,CY 2002,16,Bosnia and Herzegovina,6,Santa Clara,1,175
From: 07 Feb 2002,To: 07 Feb 2002,California,CY 2002,16,Moldova,6,Rancho Cordova,1,175
From: 07 Feb 2002,To: 07 Feb 2002,California,CY 2002,16,Moldova,6,Sacramento,3,175
From: 07 Feb 2002,To: 07 Feb 2002,California,CY 2002,16,Moldova,6,San Francisco,2,175
From: 07 Feb 2002,To: 07 Feb 2002,California,CY 2002,16,Ukraine,3,Rancho Cordova,3,175
From: 07 Feb 2002,To: 07 Feb 2002,California,CY 2002,16,Vietnam,1,Milpitas,1,175
From: 07 Feb 2002,To: 07 Feb 2002,Delaware,CY 2002,3,Serbia,3,Newark,3,175
From: 07 Feb 2002,To: 07 Feb 2002,Florida,CY 2002,18,Cuba,14,Lake Worth,1,175
From: 07 Feb 2002,To: 07 Feb 2002,Florida,CY 2002,18,Cuba,14,Miami,5,175
From: 07 Feb 2002,To: 07 Feb 2002,Florida,CY 2002,18,Cuba,14,Orlando,3,175
From: 07 Feb 2002,To: 07 Feb 2002,Florida,CY 2002,18,Cuba,14,Tampa,5,175
From: 07 Feb 2002,To: 07 Feb 2002,Florida,CY 2002,18,Serbia,2,Jacksonville,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Florida,CY 2002,18,Vietnam,2,Jacksonville,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Georgia,CY 2002,6,Bosnia and Herzegovina,4,Decatur,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Georgia,CY 2002,6,Moldova,2,Marietta,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Illinois,CY 2002,3,Serbia,2,Wheaton,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Illinois,CY 2002,3,Vietnam,1,Grayslake,1,175
From: 07 Feb 2002,To: 07 Feb 2002,Iowa,CY 2002,12,Serbia,8,Waterloo,8,175
From: 07 Feb 2002,To: 07 Feb 2002,Iowa,CY 2002,12,Vietnam,4,Davenport,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Louisiana,CY 2002,1,Vietnam,1,Marrero,1,175
From: 07 Feb 2002,To: 07 Feb 2002,Maryland,CY 2002,2,Vietnam,2,Silver Spring,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Michigan,CY 2002,5,Bosnia and Herzegovina,4,Dearborn Heights,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Michigan,CY 2002,5,Cuba,1,Grand Rapids,1,175
From: 07 Feb 2002,To: 07 Feb 2002,Minnesota,CY 2002,8,Moldova,8,Brooklyn Park,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Minnesota,CY 2002,8,Moldova,8,New Brighton,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Missouri,CY 2002,9,Bosnia and Herzegovina,4,North Kansas City,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Missouri,CY 2002,9,Serbia,5,North Kansas City,5,175
From: 07 Feb 2002,To: 07 Feb 2002,Nevada,CY 2002,2,Serbia,2,Las Vegas,2,175
From: 07 Feb 2002,To: 07 Feb 2002,New Mexico,CY 2002,4,Vietnam,4,Albuquerque,4,175
From: 07 Feb 2002,To: 07 Feb 2002,New York,CY 2002,4,Bosnia and Herzegovina,4,Utica,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Ohio,CY 2002,4,Serbia,4,Parma,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Oklahoma,CY 2002,4,Vietnam,4,Yukon,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Oregon,CY 2002,4,Bosnia and Herzegovina,4,Portland,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Pennsylvania,CY 2002,10,Bosnia and Herzegovina,2,Erie,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Pennsylvania,CY 2002,10,Moldova,8,Bensalem,8,175
From: 07 Feb 2002,To: 07 Feb 2002,South Dakota,CY 2002,6,Ethiopia,6,Sioux Falls,6,175
From: 07 Feb 2002,To: 07 Feb 2002,Texas,CY 2002,17,Ethiopia,6,Dallas,6,175
From: 07 Feb 2002,To: 07 Feb 2002,Texas,CY 2002,17,Moldova,5,Colleyville,5,175
From: 07 Feb 2002,To: 07 Feb 2002,Texas,CY 2002,17,Vietnam,6,Dallas,5,175
From: 07 Feb 2002,To: 07 Feb 2002,Texas,CY 2002,17,Vietnam,6,Houston,1,175
From: 07 Feb 2002,To: 07 Feb 2002,Utah,CY 2002,2,Bosnia and Herzegovina,2,Salt Lake City,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Washington,CY 2002,31,Ukraine,28,Camas,5,175
From: 07 Feb 2002,To: 07 Feb 2002,Washington,CY 2002,31,Ukraine,28,Everett,17,175
From: 07 Feb 2002,To: 07 Feb 2002,Washington,CY 2002,31,Ukraine,28,Spokane,2,175
From: 07 Feb 2002,To: 07 Feb 2002,Washington,CY 2002,31,Ukraine,28,Vancouver,4,175
From: 07 Feb 2002,To: 07 Feb 2002,Washington,CY 2002,31,Vietnam,3,Renton,3,175
