ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 25 Feb 2004,To: 25 Feb 2004,Arizona,CY 2004,11,Dem. Rep. Congo,6,Phoenix,6,209
From: 25 Feb 2004,To: 25 Feb 2004,Arizona,CY 2004,11,Sierra Leone,2,Phoenix,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Arizona,CY 2004,11,Somalia,2,Phoenix,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Arizona,CY 2004,11,Sudan,1,Tucson,1,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Afghanistan,1,Reseda,1,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Ethiopia,7,Oakland,2,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Ethiopia,7,San Diego,3,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Ethiopia,7,San Jose,2,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Iran,22,Encino,4,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Iran,22,Glendale,12,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Iran,22,Los Angeles,6,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Liberia,1,San Jose,1,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Somalia,8,San Diego,5,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Somalia,8,San Jose,3,209
From: 25 Feb 2004,To: 25 Feb 2004,California,CY 2004,43,Vietnam,4,Oakland,4,209
From: 25 Feb 2004,To: 25 Feb 2004,Connecticut,CY 2004,1,Sierra Leone,1,Bridgeport,1,209
From: 25 Feb 2004,To: 25 Feb 2004,District of Columbia,CY 2004,1,Vietnam,1,Washington,1,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Cuba,19,Hialeah,8,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Cuba,19,Hialeah Gardens,1,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Cuba,19,Miami,4,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Cuba,19,Saint Petersburg,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Cuba,19,Tampa,4,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Ethiopia,2,Tampa,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Rwanda,4,Tampa,4,209
From: 25 Feb 2004,To: 25 Feb 2004,Florida,CY 2004,28,Sierra Leone,3,Orlando,3,209
From: 25 Feb 2004,To: 25 Feb 2004,Georgia,CY 2004,15,Liberia,14,Clarkston,12,209
From: 25 Feb 2004,To: 25 Feb 2004,Georgia,CY 2004,15,Liberia,14,Decatur,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Georgia,CY 2004,15,Somalia,1,Decatur,1,209
From: 25 Feb 2004,To: 25 Feb 2004,Idaho,CY 2004,1,Sudan,1,Boise,1,209
From: 25 Feb 2004,To: 25 Feb 2004,Illinois,CY 2004,4,Iran,1,Chicago,1,209
From: 25 Feb 2004,To: 25 Feb 2004,Illinois,CY 2004,4,Liberia,3,Chicago,3,209
From: 25 Feb 2004,To: 25 Feb 2004,Iowa,CY 2004,3,Liberia,1,Des Moines,1,209
From: 25 Feb 2004,To: 25 Feb 2004,Iowa,CY 2004,3,Vietnam,2,Des Moines,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Kentucky,CY 2004,5,Dem. Rep. Congo,5,Lexington,5,209
From: 25 Feb 2004,To: 25 Feb 2004,Maryland,CY 2004,7,Liberia,3,New Windsor,3,209
From: 25 Feb 2004,To: 25 Feb 2004,Maryland,CY 2004,7,Sierra Leone,2,Silver Spring,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Maryland,CY 2004,7,Vietnam,2,Woodstock,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Massachusetts,CY 2004,2,Rwanda,2,Boston,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Michigan,CY 2004,3,Cuba,3,Grandville,3,209
From: 25 Feb 2004,To: 25 Feb 2004,Minnesota,CY 2004,24,Sierra Leone,6,Anoka,6,209
From: 25 Feb 2004,To: 25 Feb 2004,Minnesota,CY 2004,24,Somalia,18,Minneapolis,14,209
From: 25 Feb 2004,To: 25 Feb 2004,Minnesota,CY 2004,24,Somalia,18,Minnetonka,4,209
From: 25 Feb 2004,To: 25 Feb 2004,Nevada,CY 2004,2,Eritrea,1,Las Vegas,1,209
From: 25 Feb 2004,To: 25 Feb 2004,Nevada,CY 2004,2,Somalia,1,Las Vegas,1,209
From: 25 Feb 2004,To: 25 Feb 2004,New Jersey,CY 2004,1,Cuba,1,Perth Amboy,1,209
From: 25 Feb 2004,To: 25 Feb 2004,New Mexico,CY 2004,4,Cuba,4,Albuquerque,4,209
From: 25 Feb 2004,To: 25 Feb 2004,New York,CY 2004,14,Burundi,4,Rochester,4,209
From: 25 Feb 2004,To: 25 Feb 2004,New York,CY 2004,14,Dem. Rep. Congo,1,Rochester,1,209
From: 25 Feb 2004,To: 25 Feb 2004,New York,CY 2004,14,Iran,2,Great Neck,2,209
From: 25 Feb 2004,To: 25 Feb 2004,New York,CY 2004,14,Sierra Leone,7,Yonkers,7,209
From: 25 Feb 2004,To: 25 Feb 2004,Oregon,CY 2004,2,Ethiopia,2,Portland,2,209
From: 25 Feb 2004,To: 25 Feb 2004,Pennsylvania,CY 2004,9,Sudan,8,Pittsburgh,8,209
