ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 09 Feb 2016,To: 09 Feb 2016,Alaska,CY 2016,1,Somalia,1,Anchorage,1,294
From: 09 Feb 2016,To: 09 Feb 2016,Arizona,CY 2016,24,Burundi,12,Tucson,12,294
From: 09 Feb 2016,To: 09 Feb 2016,Arizona,CY 2016,24,Dem. Rep. Congo,10,Phoenix,5,294
From: 09 Feb 2016,To: 09 Feb 2016,Arizona,CY 2016,24,Dem. Rep. Congo,10,Tucson,5,294
From: 09 Feb 2016,To: 09 Feb 2016,Arizona,CY 2016,24,Ethiopia,1,Tucson,1,294
From: 09 Feb 2016,To: 09 Feb 2016,Arizona,CY 2016,24,Rwanda,1,Phoenix,1,294
From: 09 Feb 2016,To: 09 Feb 2016,California,CY 2016,8,Afghanistan,2,Canoga Park,2,294
From: 09 Feb 2016,To: 09 Feb 2016,California,CY 2016,8,Dem. Rep. Congo,1,Los Angeles,1,294
From: 09 Feb 2016,To: 09 Feb 2016,California,CY 2016,8,El Salvador,1,North Hollywood,1,294
From: 09 Feb 2016,To: 09 Feb 2016,California,CY 2016,8,Eritrea,1,Los Gatos,1,294
From: 09 Feb 2016,To: 09 Feb 2016,California,CY 2016,8,Russia,3,Sacramento,3,294
From: 09 Feb 2016,To: 09 Feb 2016,Colorado,CY 2016,13,Dem. Rep. Congo,5,Denver,5,294
From: 09 Feb 2016,To: 09 Feb 2016,Colorado,CY 2016,13,Eritrea,4,Greeley,4,294
From: 09 Feb 2016,To: 09 Feb 2016,Colorado,CY 2016,13,Ukraine,4,Denver,4,294
From: 09 Feb 2016,To: 09 Feb 2016,Connecticut,CY 2016,1,Eritrea,1,Bridgeport,1,294
From: 09 Feb 2016,To: 09 Feb 2016,Florida,CY 2016,4,Dem. Rep. Congo,1,Tallahassee,1,294
From: 09 Feb 2016,To: 09 Feb 2016,Florida,CY 2016,4,Russia,3,Orlando,3,294
From: 09 Feb 2016,To: 09 Feb 2016,Georgia,CY 2016,16,Dem. Rep. Congo,15,Atlanta,15,294
From: 09 Feb 2016,To: 09 Feb 2016,Georgia,CY 2016,16,El Salvador,1,Atlanta,1,294
From: 09 Feb 2016,To: 09 Feb 2016,Idaho,CY 2016,31,Burundi,5,Boise,5,294
From: 09 Feb 2016,To: 09 Feb 2016,Idaho,CY 2016,31,Dem. Rep. Congo,22,Boise,14,294
From: 09 Feb 2016,To: 09 Feb 2016,Idaho,CY 2016,31,Dem. Rep. Congo,22,Twin Falls,8,294
From: 09 Feb 2016,To: 09 Feb 2016,Idaho,CY 2016,31,Somalia,4,Boise,4,294
From: 09 Feb 2016,To: 09 Feb 2016,Illinois,CY 2016,5,Afghanistan,4,Chicago,4,294
From: 09 Feb 2016,To: 09 Feb 2016,Illinois,CY 2016,5,Eritrea,1,Aurora,1,294
From: 09 Feb 2016,To: 09 Feb 2016,Indiana,CY 2016,6,Iraq,6,Indianapolis,6,294
From: 09 Feb 2016,To: 09 Feb 2016,Iowa,CY 2016,15,Burma,7,Des Moines,7,294
From: 09 Feb 2016,To: 09 Feb 2016,Iowa,CY 2016,15,Dem. Rep. Congo,8,Cedar Rapids,8,294
From: 09 Feb 2016,To: 09 Feb 2016,Kansas,CY 2016,3,Dem. Rep. Congo,3,Wichita,3,294
From: 09 Feb 2016,To: 09 Feb 2016,Maine,CY 2016,2,Iraq,2,Auburn,2,294
From: 09 Feb 2016,To: 09 Feb 2016,Maryland,CY 2016,3,Egypt,3,Baltimore,3,294
From: 09 Feb 2016,To: 09 Feb 2016,Massachusetts,CY 2016,1,Iraq,1,Worcester,1,294
From: 09 Feb 2016,To: 09 Feb 2016,Michigan,CY 2016,5,Somalia,5,Grand Rapids,5,294
From: 09 Feb 2016,To: 09 Feb 2016,Minnesota,CY 2016,14,Burma,7,Saint Paul,7,294
From: 09 Feb 2016,To: 09 Feb 2016,Minnesota,CY 2016,14,Somalia,7,Minneapolis,4,294
From: 09 Feb 2016,To: 09 Feb 2016,Minnesota,CY 2016,14,Somalia,7,Saint Paul,3,294
From: 09 Feb 2016,To: 09 Feb 2016,Missouri,CY 2016,16,Afghanistan,6,Saint Louis,6,294
From: 09 Feb 2016,To: 09 Feb 2016,Missouri,CY 2016,16,Burma,5,Kansas City,5,294
From: 09 Feb 2016,To: 09 Feb 2016,Missouri,CY 2016,16,Dem. Rep. Congo,3,Saint Louis,3,294
From: 09 Feb 2016,To: 09 Feb 2016,Missouri,CY 2016,16,Eritrea,2,Saint Louis,2,294
From: 09 Feb 2016,To: 09 Feb 2016,Nebraska,CY 2016,15,Burma,9,Omaha,9,294
From: 09 Feb 2016,To: 09 Feb 2016,Nebraska,CY 2016,15,Somalia,6,Omaha,6,294
From: 09 Feb 2016,To: 09 Feb 2016,Nevada,CY 2016,3,Dem. Rep. Congo,3,Las Vegas,3,294
From: 09 Feb 2016,To: 09 Feb 2016,New Mexico,CY 2016,8,Dem. Rep. Congo,8,Albuquerque,8,294
From: 09 Feb 2016,To: 09 Feb 2016,New York,CY 2016,26,Dem. Rep. Congo,9,Rochester,9,294
From: 09 Feb 2016,To: 09 Feb 2016,New York,CY 2016,26,Iran,1,Northport,1,294
From: 09 Feb 2016,To: 09 Feb 2016,New York,CY 2016,26,Iraq,7,Buffalo,7,294
From: 09 Feb 2016,To: 09 Feb 2016,New York,CY 2016,26,Russia,9,Camillus,6,294
From: 09 Feb 2016,To: 09 Feb 2016,New York,CY 2016,26,Russia,9,New York,3,294
From: 09 Feb 2016,To: 09 Feb 2016,North Carolina,CY 2016,23,Dem. Rep. Congo,15,Charlotte,3,294
From: 09 Feb 2016,To: 09 Feb 2016,North Carolina,CY 2016,23,Dem. Rep. Congo,15,Greensboro,5,294
From: 09 Feb 2016,To: 09 Feb 2016,North Carolina,CY 2016,23,Dem. Rep. Congo,15,Raleigh,7,294
From: 09 Feb 2016,To: 09 Feb 2016,North Carolina,CY 2016,23,Eritrea,1,Durham,1,294
From: 09 Feb 2016,To: 09 Feb 2016,North Carolina,CY 2016,23,Iraq,3,Charlotte,3,294
From: 09 Feb 2016,To: 09 Feb 2016,North Carolina,CY 2016,23,Somalia,3,Charlotte,1,294
From: 09 Feb 2016,To: 09 Feb 2016,North Carolina,CY 2016,23,Somalia,3,Durham,2,294
