ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 15 Mar 2016,To: 15 Mar 2016,Arizona,CY 2016,29,Dem. Rep. Congo,2,Tucson,2,265
From: 15 Mar 2016,To: 15 Mar 2016,Arizona,CY 2016,29,Eritrea,20,Phoenix,3,265
From: 15 Mar 2016,To: 15 Mar 2016,Arizona,CY 2016,29,Eritrea,20,Tucson,17,265
From: 15 Mar 2016,To: 15 Mar 2016,Arizona,CY 2016,29,Ethiopia,1,Phoenix,1,265
From: 15 Mar 2016,To: 15 Mar 2016,Arizona,CY 2016,29,Somalia,6,Glendale,1,265
From: 15 Mar 2016,To: 15 Mar 2016,Arizona,CY 2016,29,Somalia,6,Phoenix,2,265
From: 15 Mar 2016,To: 15 Mar 2016,Arizona,CY 2016,29,Somalia,6,Tucson,3,265
From: 15 Mar 2016,To: 15 Mar 2016,California,CY 2016,35,Eritrea,2,Los Angeles,2,265
From: 15 Mar 2016,To: 15 Mar 2016,California,CY 2016,35,Ethiopia,2,San Diego,2,265
From: 15 Mar 2016,To: 15 Mar 2016,California,CY 2016,35,Iran,31,Glendale,8,265
From: 15 Mar 2016,To: 15 Mar 2016,California,CY 2016,35,Iran,31,Los Gatos,14,265
From: 15 Mar 2016,To: 15 Mar 2016,California,CY 2016,35,Iran,31,San Diego,5,265
From: 15 Mar 2016,To: 15 Mar 2016,California,CY 2016,35,Iran,31,Turlock,4,265
From: 15 Mar 2016,To: 15 Mar 2016,Colorado,CY 2016,3,Somalia,3,Denver,1,265
From: 15 Mar 2016,To: 15 Mar 2016,Colorado,CY 2016,3,Somalia,3,Greeley,2,265
From: 15 Mar 2016,To: 15 Mar 2016,Connecticut,CY 2016,6,Ethiopia,1,New Haven,1,265
From: 15 Mar 2016,To: 15 Mar 2016,Connecticut,CY 2016,6,Syria,5,New Haven,5,265
From: 15 Mar 2016,To: 15 Mar 2016,Florida,CY 2016,11,Eritrea,1,Orlando,1,265
From: 15 Mar 2016,To: 15 Mar 2016,Florida,CY 2016,11,Somalia,10,Tampa,10,265
From: 15 Mar 2016,To: 15 Mar 2016,Georgia,CY 2016,5,Somalia,2,Atlanta,2,265
From: 15 Mar 2016,To: 15 Mar 2016,Georgia,CY 2016,5,Sudan,3,Decatur,3,265
From: 15 Mar 2016,To: 15 Mar 2016,Idaho,CY 2016,2,Dem. Rep. Congo,2,Twin Falls,2,265
From: 15 Mar 2016,To: 15 Mar 2016,Illinois,CY 2016,7,Burundi,7,Moline,1,265
From: 15 Mar 2016,To: 15 Mar 2016,Illinois,CY 2016,7,Burundi,7,Rockford,6,265
From: 15 Mar 2016,To: 15 Mar 2016,Iowa,CY 2016,5,Somalia,5,Des Moines,5,265
From: 15 Mar 2016,To: 15 Mar 2016,Kansas,CY 2016,3,Burma,2,Kansas City,2,265
From: 15 Mar 2016,To: 15 Mar 2016,Kansas,CY 2016,3,Somalia,1,Dodge City,1,265
