ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 21 Jul 2014,To: 21 Jul 2014,Arizona,CY 2014,1,Iraq,1,Phoenix,1,197
From: 21 Jul 2014,To: 21 Jul 2014,California,CY 2014,14,Iraq,13,El Cajon,9,197
From: 21 Jul 2014,To: 21 Jul 2014,California,CY 2014,14,Iraq,13,San Diego,4,197
From: 21 Jul 2014,To: 21 Jul 2014,California,CY 2014,14,Syria,1,El Cajon,1,197
From: 21 Jul 2014,To: 21 Jul 2014,Florida,CY 2014,4,Eritrea,3,Tampa,3,197
From: 21 Jul 2014,To: 21 Jul 2014,Florida,CY 2014,4,Iraq,1,Miami,1,197
From: 21 Jul 2014,To: 21 Jul 2014,Georgia,CY 2014,12,Eritrea,12,Atlanta,8,197
From: 21 Jul 2014,To: 21 Jul 2014,Georgia,CY 2014,12,Eritrea,12,Clarkston,4,197
From: 21 Jul 2014,To: 21 Jul 2014,Idaho,CY 2014,5,Iraq,5,Boise,1,197
From: 21 Jul 2014,To: 21 Jul 2014,Idaho,CY 2014,5,Iraq,5,Twin Falls,4,197
From: 21 Jul 2014,To: 21 Jul 2014,Illinois,CY 2014,15,Iraq,15,Aurora,6,197
From: 21 Jul 2014,To: 21 Jul 2014,Illinois,CY 2014,15,Iraq,15,Lincolnwood,6,197
From: 21 Jul 2014,To: 21 Jul 2014,Illinois,CY 2014,15,Iraq,15,Wheaton,3,197
From: 21 Jul 2014,To: 21 Jul 2014,Kentucky,CY 2014,3,Iraq,3,Louisville,3,197
From: 21 Jul 2014,To: 21 Jul 2014,Maryland,CY 2014,6,Dem. Rep. Congo,2,Silver Spring,2,197
From: 21 Jul 2014,To: 21 Jul 2014,Maryland,CY 2014,6,Iraq,4,Baltimore,1,197
From: 21 Jul 2014,To: 21 Jul 2014,Maryland,CY 2014,6,Iraq,4,Silver Spring,3,197
From: 21 Jul 2014,To: 21 Jul 2014,Massachusetts,CY 2014,12,Somalia,12,Jamaica Plain,6,197
