ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 20 Jan 2004,To: 20 Jan 2004,Arizona,CY 2004,11,Iran,1,Tucson,1,172
From: 20 Jan 2004,To: 20 Jan 2004,Arizona,CY 2004,11,Somalia,9,Phoenix,9,172
From: 20 Jan 2004,To: 20 Jan 2004,Arizona,CY 2004,11,Sudan,1,Tucson,1,172
From: 20 Jan 2004,To: 20 Jan 2004,California,CY 2004,33,Iran,12,Beverly Hills,2,172
From: 20 Jan 2004,To: 20 Jan 2004,California,CY 2004,33,Iran,12,Glendale,7,172
From: 20 Jan 2004,To: 20 Jan 2004,California,CY 2004,33,Iran,12,Los Angeles,3,172
From: 20 Jan 2004,To: 20 Jan 2004,California,CY 2004,33,Russia,4,West Sacramento,4,172
From: 20 Jan 2004,To: 20 Jan 2004,California,CY 2004,33,Somalia,1,San Diego,1,172
From: 20 Jan 2004,To: 20 Jan 2004,California,CY 2004,33,Ukraine,16,Antelope,7,172
From: 20 Jan 2004,To: 20 Jan 2004,California,CY 2004,33,Ukraine,16,Sacramento,9,172
From: 20 Jan 2004,To: 20 Jan 2004,Florida,CY 2004,3,Liberia,3,Saint Petersburg,3,172
From: 20 Jan 2004,To: 20 Jan 2004,Georgia,CY 2004,6,Ethiopia,2,Stone Mountain,2,172
From: 20 Jan 2004,To: 20 Jan 2004,Georgia,CY 2004,6,Nigeria,4,Stone Mountain,4,172
From: 20 Jan 2004,To: 20 Jan 2004,Illinois,CY 2004,5,Somalia,3,Chicago,3,172
From: 20 Jan 2004,To: 20 Jan 2004,Illinois,CY 2004,5,Ukraine,2,Chicago,2,172
From: 20 Jan 2004,To: 20 Jan 2004,Indiana,CY 2004,2,Ukraine,2,Elkhart,2,172
From: 20 Jan 2004,To: 20 Jan 2004,Louisiana,CY 2004,5,Afghanistan,5,Pineville,5,172
