ï»¿textbox9,textbox2,Textbox34
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Apr 2005,To: 01 Apr 2005,Connecticut,CY 2005,6,Russia,6,Hartford,6,25
From: 01 Apr 2005,To: 01 Apr 2005,Florida,CY 2005,5,Russia,5,Tampa,5,25
From: 01 Apr 2005,To: 01 Apr 2005,Georgia,CY 2005,4,Russia,4,Decatur,4,25
From: 01 Apr 2005,To: 01 Apr 2005,Michigan,CY 2005,6,Russia,6,Lansing,6,25
From: 01 Apr 2005,To: 01 Apr 2005,Ohio,CY 2005,3,Russia,3,Dayton,3,25
From: 01 Apr 2005,To: 01 Apr 2005,Pennsylvania,CY 2005,1,Russia,1,Philadelphia,1,25

Textbox94,Textbox95,nat_definition5,region_name_4,textbox38,Category4,textbox42,Assur_DestinationCity3,Cases5,Cases6
From: 01 Apr 2005,To: 01 Apr 2005,Russia,CY 2005,25,Connecticut,6,Hartford,6,25
From: 01 Apr 2005,To: 01 Apr 2005,Russia,CY 2005,25,Florida,5,Tampa,5,25
From: 01 Apr 2005,To: 01 Apr 2005,Russia,CY 2005,25,Georgia,4,Decatur,4,25
From: 01 Apr 2005,To: 01 Apr 2005,Russia,CY 2005,25,Michigan,6,Lansing,6,25
From: 01 Apr 2005,To: 01 Apr 2005,Russia,CY 2005,25,Ohio,3,Dayton,3,25
From: 01 Apr 2005,To: 01 Apr 2005,Russia,CY 2005,25,Pennsylvania,1,Philadelphia,1,25

